Location,Year,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,car_age,km/age,KM_bin_encoded,Engine-bins,Power_bins,Power_to_Engine_Ratio,Mileage_per_Year,Mileage_Efficiency,Depreciation_Factor,Value_Retention,Performance_Index,Economy_Index
Kochi,2014,Diesel,Manual,First,20.45,5,6.34,Renault,Duster 85PS Diesel RxL Plus,12,6455.75,1,2,1,0.057357973951158124,5959.153846153846,1.1729705673011834,9.29628,0.15292663344760352,122.43180000000001,8.309630231613164
Bangalore,2014,Diesel,Automatic,First,14.84,5,28.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,12,6541.666666666667,1,3,2,0.0782174521333563,6038.461538461538,1.1607469896590075,9.42,0.1509433962264151,359.20966000000004,4.721603563474388
Kochi,2014,Diesel,Automatic,First,22.69,5,18.55,BMW,3 Series 320d,12,2748.5,0,3,3,0.09523809519035684,2537.076923076923,2.160952379869197,3.95784,0.3531281266552881,379.05,7.5759599332220375
Bangalore,2015,Diesel,Manual,Second,23.65,5,8.25,Maruti,S Cross DDiS 200 Alpha,11,5035.636363636364,1,1,1,0.07091346148163985,4616.0,1.6771033640407824,6.09312,0.19506312952191798,110.448,10.520462633451956
Mumbai,2015,Petrol,Automatic,First,13.53,5,23.5,Audi,A6 2011-2015 35 TFSI Technology,11,5089.545454545455,1,3,3,0.08921874995503086,4665.416666666667,1.2071296868915675,6.15835,0.19303325436518382,351.18784,4.5341823056300266
Kolkata,2010,Petrol,Manual,First,18.5,5,1.87,Hyundai,i20 1.2 Magna,16,2862.9375,0,1,0,0.06683375098844298,2694.529411764706,1.2364243932861951,7.32912,0.3418292135791655,95.76,8.420573509330906
Kolkata,2010,Petrol,Automatic,First,14.4,5,2.85,Volkswagen,Vento Petrol Highline AT,16,2062.5,0,2,1,0.064831038757928,1941.1764705882354,0.9335669581141632,5.28,0.47058823529411764,165.5528,5.542725173210162
Mumbai,2012,Petrol,Manual,First,16.8,5,4.25,Honda,City Corporate Edition,14,3708.571428571429,1,2,1,0.07768871070294675,3461.3333333333335,1.3051703398095054,7.2688,0.26455026455026454,174.1011,6.728073688426112
Hyderabad,2012,Diesel,Manual,First,23.08,5,4.25,Nissan,Micra Diesel XV,14,3857.142857142857,1,2,0,0.04318959613744723,3600.0,0.996815878852282,7.56,0.2545454545454545,92.18910000000001,9.378301503453878
Hyderabad,2013,Petrol,Manual,Second,20.92,5,2.75,Maruti,Alto K10 2010-2014 VXI,13,4153.846153846154,1,0,0,0.06723446887050653,3857.1428571428573,1.406545088770997,7.02,0.23636363636363636,66.96579999999999,10.470470470470472
Kochi,2018,Petrol,Manual,First,17.5,5,9.9,Honda,WRV i-VTEC VX,8,4678.75,0,1,1,0.07397831520101891,4158.888888888889,1.294620516017831,2.9944,0.20817069997397866,106.35130000000001,7.958162801273306
Mumbai,2007,Diesel,Manual,Fourth & Above,12.8,7,4.0,Toyota,Innova 2.5 V Diesel 7-seater,19,13789.473684210529,5,4,1,0.040898155556977484,13100.0,0.5234963911293119,49.78,0.07224334600760456,254.388,3.6634230108757873
Bangalore,2013,Diesel,Manual,First,19.01,5,7.75,Renault,Duster 110PS Diesel RxZ Pack,13,4769.2307692307695,1,2,1,0.07422997941531144,4428.571428571428,1.4111119086850705,8.06,0.20634920634920634,158.44545000000002,7.724502234863876
Delhi,2012,Petrol,Manual,First,14.53,5,6.75,Toyota,Corolla Altis G,14,6258.214285714285,1,2,2,0.07680756391723717,5841.0,1.116013903717456,12.2661,0.15798679681769454,248.3038,5.192994996426018
Bangalore,2013,Diesel,Automatic,Second,11.18,7,12.5,Mahindra,Ssangyong Rexton RX7,13,5538.461538461538,1,5,3,0.06824925813492239,5142.857142857143,0.7630267059484322,9.36,0.1780821917808219,496.064,3.024891774891775
Kolkata,2010,Diesel,Automatic,First,12.4,5,11.5,Audi,A6 2.7 TDI,16,2187.5,0,5,3,0.06653076350388037,2058.823529411765,0.8249814674481167,5.6,0.4444444444444444,484.291,3.3531638723634396
Coimbatore,2014,Petrol,Manual,Second,16.09,5,6.98,Volkswagen,Vento 1.6 Highline,12,4619.25,1,2,1,0.0647684605351887,4263.923076923077,1.042124530011186,6.65172,0.21264907586255782,165.393,6.193225558121632
Jaipur,2009,Petrol,Manual,Second,14.0,5,1.85,Maruti,Wagon R LXI BSIII,17,4930.35294117647,1,1,0,0.060320452346540564,4656.444444444444,0.8444863328515679,14.24872,0.20043388039992455,67.904,6.792819019893256
Kochi,2018,Diesel,Manual,First,24.3,5,8.63,Maruti,Vitara Brezza ZDi Plus,8,6259.375,0,1,1,0.07091346148163985,5563.888888888889,1.7231971140038485,4.006,0.15663240332843856,110.448,10.809608540925266
Delhi,2017,Petrol,Manual,First,18.15,5,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW,9,5777.777777777777,1,1,1,0.06844741229678847,5200.0,1.2423205331867107,4.68,0.16981132075471697,98.236,8.257506824385805
Pune,2013,Diesel,Automatic,First,11.74,5,28.0,Mercedes-Benz,M-Class ML 350 CDI,13,6538.461538461538,1,5,4,0.08530297954961401,6071.428571428572,1.0014569799124686,11.05,0.1511627906976744,761.0876,2.944569852019062
Chennai,2013,Diesel,Manual,First,22.07,5,5.0,Volkswagen,Polo Diesel Trendline 1.2L,13,4769.2307692307695,1,1,0,0.061634695528244625,4428.571428571428,1.3602777303083589,8.06,0.20634920634920634,88.60610000000001,10.03638017280582
Delhi,2008,Petrol,Manual,Second,19.7,5,1.25,Maruti,Alto LXi,18,5000.0,1,0,0,0.05816582907265599,4736.8421052631575,1.145866832731323,16.2,0.1978021978021978,36.8548,10.96881959910913
Kochi,2014,Petrol,Manual,First,25.4,4,1.53,Tata,Nano LX SE,12,1641.5,0,0,0,0.06009615374984591,1515.2307692307693,1.526442305246086,2.36376,0.5797661609817374,23.4,15.640394088669948
Coimbatore,2017,Diesel,Manual,First,25.32,6,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,9,2448.1111111111118,0,1,0,0.06427378959576478,2203.3,1.6274123525647644,1.98297,0.39074371553857506,92.246,11.519563239308463
Kochi,2014,Petrol,Manual,First,18.5,5,4.74,Hyundai,i20 Magna Optional 1.2,12,2957.25,0,1,1,0.06925647446177403,2729.769230769231,1.2812447775428197,4.25844,0.32888426014744976,99.2313,8.420573509330906
Bangalore,2014,Petrol,Automatic,First,14.62,5,8.85,Hyundai,Elantra 2.0 SX Option AT,12,3864.5,0,3,2,0.07499749871185717,3567.230769230769,1.0964634311673518,5.56488,0.25330349981002237,299.69007999999997,4.874958319439813
Mumbai,2016,Petrol,Automatic,First,14.28,5,10.11,Toyota,Corolla Altis G AT,10,5200.1,1,2,2,0.07676863177042902,4727.363636363636,1.0962560616817263,5.2001,0.18867568536442708,248.17794,5.103645461043603
Ahmedabad,2008,Diesel,Manual,Second,14.9,5,4.25,Hyundai,Elantra CRDi,18,3222.5,1,3,1,0.056353591131916826,3052.8947368421054,0.8396685078655607,10.4409,0.3050588933141259,223.39020000000002,4.9816115011701765
Bangalore,2012,Petrol,Manual,First,11.25,7,10.95,Toyota,Innova Crysta 2.7 GX MT,14,5050.285714285715,1,5,2,0.06076466218976813,4713.6,0.6836024496348914,9.89856,0.1952471270779873,441.0078,3.0454791553871146
Jaipur,2014,Diesel,Manual,First,24.4,5,3.85,Hyundai,Xcent 1.1 CRDi S,12,6250.0,1,1,0,0.06339285708625637,5769.2307692307695,1.5467857129046554,9.0,0.15789473684210525,79.52,11.509433962264149
Jaipur,2012,Diesel,Manual,Second,16.55,6,5.5,Mahindra,Thar CRDe AC,14,5414.285714285715,1,4,1,0.04203362688469431,5053.333333333333,0.6956565249416907,10.612,0.18229166666666669,262.29,4.731275014293883
Kochi,2015,Diesel,Automatic,First,17.11,5,21.43,Audi,A4 2.0 TDI 177 Bhp Premium Plus,11,1240.7272727272727,0,3,3,0.0885823170281594,1137.3333333333333,1.5156434443518072,1.50128,0.7509557618787548,343.08144,5.764824797843666
Delhi,2014,Diesel,Manual,First,22.9,5,4.25,Maruti,Swift LDI,12,4333.333333333333,1,1,0,0.059294871747359874,4000.0,1.357852563014541,6.24,0.22641509433962265,92.352,10.186832740213521
Kolkata,2014,Diesel,Manual,First,17.8,5,3.3,Maruti,Swift Ldi BSIV,12,4416.666666666667,1,1,0,0.060096153797999874,4076.923076923077,1.0697115376043977,6.36,0.2222222222222222,93.6,7.918149466192171
Delhi,2013,Diesel,Manual,First,28.4,5,3.85,Maruti,Swift VDI,13,5050.0,1,1,0,0.059294871747359874,4689.285714285715,1.6839743576250203,8.5345,0.19504876219054762,92.352,12.633451957295371
Chennai,2015,Petrol,Manual,Third,18.9,5,3.6,Hyundai,Grand i10 Sportz,11,4909.090909090909,1,1,1,0.06850459476315406,4500.0,1.2947368410236115,5.94,0.2,98.154,8.602639963586709
Kolkata,2015,Petrol,Manual,First,15.04,5,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline,11,3545.454545454545,0,2,1,0.06458072586697075,3250.0,0.9712941170392401,4.29,0.275,164.9136,5.789068514241724
Kochi,2017,Petrol,Manual,First,25.17,5,3.3,Renault,KWID RXT,9,1838.0,0,0,0,0.06670838539836246,1654.2,1.6790500604767833,1.48878,0.513054383764679,42.5867,13.991106170094499
Kolkata,2010,Petrol,Manual,First,20.36,5,2.07,Hyundai,i10 Asta,16,2000.0,0,1,0,0.06591478691235189,1882.3529411764705,1.3420250615354843,5.12,0.48484848484848486,94.44330000000001,9.267182521620391
Hyderabad,2010,Diesel,Automatic,First,13.29,5,7.75,Nissan,X-Trail SLX AT,16,7613.25,2,3,2,0.07398496236892983,7165.411764705882,0.9832601498830774,19.48992,0.13028042862261016,294.462,4.437395659432387
Hyderabad,2010,Petrol,Manual,First,18.2,5,2.25,Maruti,Zen Estilo VXI BSIII,16,2456.25,0,0,0,0.06723446887050653,2311.764705882353,1.2236673334432189,6.288,0.3970223325062035,66.96579999999999,9.10910910910911
Mumbai,2017,Diesel,Manual,First,13.68,8,16.5,Toyota,Innova Crysta 2.4 GX MT 8S,9,2444.4444444444443,0,4,2,0.06176347678154473,2200.0,0.8449243623715319,1.98,0.391304347826087,353.6854,4.031830238726791
Bangalore,2010,Diesel,Manual,First,20.0,5,2.75,Ford,Figo Diesel Titanium,16,4500.0,1,1,0,0.04860614721329081,4235.294117647059,0.9721229442658162,11.52,0.2191780821917808,95.132,8.336807002917881
Delhi,2015,Petrol,Automatic,First,11.74,5,26.7,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,11,5272.727272727273,1,2,3,0.10356347432986443,4833.333333333333,1.2158351886326084,6.38,0.1864406779661017,334.056,4.198855507868384
Pune,2011,Diesel,Manual,Second,15.8,5,10.0,Mercedes-Benz,New C-Class 200 CDI Classic,15,4333.333333333333,1,3,2,0.07914338916240997,4062.5,1.2504655487660776,9.75,0.22727272727272727,365.16,5.019059720457434
Chennai,2016,Diesel,Manual,First,25.0,5,2.5,Tata,Indica V2 eLS,10,17800.0,3,1,0,0.049426934062015086,16181.818181818182,1.235673351550377,17.8,0.055865921787709494,96.324,10.434056761268781
Jaipur,2012,Diesel,Automatic,First,16.55,5,13.5,Audi,A4 2.0 TDI Multitronic,14,4690.285714285715,1,3,2,0.07113821134596635,4377.6,1.177337397775743,9.19296,0.21000840033601342,275.52,5.576145552560647
Mumbai,2007,Petrol,Automatic,Second,16.4,5,1.85,Honda,City ZX CVT,19,3315.7894736842104,1,2,0,0.052104208382027915,3150.0,0.8545090174652576,11.97,0.296875,116.766,6.567881457749299
Pune,2016,Diesel,Manual,First,24.52,7,8.15,Maruti,Ertiga SHVS VDI,10,6300.0,1,1,1,0.07091346148163985,5727.272727272727,1.7387980755298091,6.3,0.15625,110.448,10.90747330960854
Mumbai,2018,Diesel,Manual,First,22.1,5,10.5,Hyundai,Creta 1.4 E Plus Diesel,8,1625.0,0,1,1,0.06353868190290925,1444.4444444444443,1.4042048700542946,1.04,0.5714285714285714,123.8252,9.223706176961603
Mumbai,2008,Petrol,Automatic,First,8.5,5,14.5,Porsche,Cayenne 2009-2014 Turbo,18,4055.555555555556,1,10,9,0.10403662086890623,3842.1052631578946,0.8843112773857029,13.14,0.24324324324324326,2403.0,1.4640027557698931
Mumbai,2015,Diesel,Manual,First,15.1,7,9.65,Mahindra,XUV500 W8 4WD,11,5066.272727272727,1,3,2,0.06424965577592949,4644.083333333333,0.9701698022165353,6.13019,0.19390435227132508,305.06,4.749921358917899
Kochi,2012,Petrol,Automatic,First,16.95,5,3.48,Hyundai,i10 Sportz 1.2 AT,14,3227.0,0,1,0,0.06591478691235189,3011.866666666667,1.1172556381643644,6.32492,0.30317467192169434,94.44330000000001,7.715065999089667
Kochi,2015,Diesel,Manual,First,19.64,5,6.92,Nissan,Terrano XV D Pre,11,5096.909090909091,1,2,1,0.07426420255012717,4672.166666666667,1.4585489380844976,6.16726,0.1927592612063225,158.5185,7.980495733441689
Coimbatore,2016,Petrol,Automatic,Second,16.5,5,6.46,Honda,Brio VX AT,10,3730.0,0,1,1,0.0724540900897712,3390.909090909091,1.1954924864812249,3.73,0.26109660574412535,103.98639999999999,7.506824385805278
Delhi,2014,Diesel,Automatic,Second,18.53,5,29.5,Audi,A6 2.0 TDI Design Edition,12,4666.666666666667,1,3,3,0.09539634141494088,4307.692307692308,1.7676942064188548,6.72,0.21052631578947367,369.47232,6.243261455525607
Jaipur,2008,Diesel,Manual,First,17.8,5,2.0,Ford,Fiesta 1.4 SXi TDCi,18,6172.833333333333,2,1,1,0.08096990253895649,5847.9473684210525,1.4412642651934255,19.99998,0.16055516407845796,158.4743743324251,7.419758232596915
Chennai,2006,Petrol,Manual,Third,12.4,8,4.5,Toyota,Innova 2.0 G1,20,11500.0,4,3,2,0.06606606603299996,10952.380952380952,0.8192192188091996,46.0,0.08658008658008658,263.736,4.136090727151434
Hyderabad,2012,Diesel,Manual,First,12.8,7,11.75,Toyota,Innova 2.5 VX 7 STR BSIV,14,7428.571428571428,2,4,1,0.040898155556977484,6933.333333333333,0.5234963911293119,14.56,0.13333333333333333,254.388,3.6634230108757873
Jaipur,2012,Diesel,Manual,First,22.9,5,3.75,Maruti,Swift VDI,14,6792.857142857143,1,1,0,0.059294871747359874,6340.0,1.357852563014541,13.314,0.14568158168574402,92.352,10.186832740213521
Pune,2017,Petrol,Manual,First,17.57,5,4.5,Tata,Zest Revotron 1.2T XE,9,7777.777777777777,1,1,1,0.0743503771380131,7000.0,1.30633612631489,6.3,0.1267605633802817,105.8191,8.011855905152759
Kochi,2016,Petrol,Manual,First,18.0,5,4.82,Honda,Amaze SX i-VTEC,10,5494.4,1,1,1,0.07237061763575073,4994.909090909091,1.3026711174435133,5.4944,0.17875017875017873,103.8666,8.18926296633303
Hyderabad,2012,Diesel,Manual,First,20.0,5,2.8,Ford,Figo Diesel ZXI,14,5024.071428571428,1,1,0,0.04860614721329081,4689.133333333333,0.9721229442658162,9.84718,0.19625159454420565,95.132,8.336807002917881
Jaipur,2013,Diesel,Manual,First,23.2,5,3.11,Maruti,Ritz VDi,13,7664.461538461538,1,1,0,0.05924679482432147,7117.0,1.374525639924258,12.95294,0.12917585802579543,92.27712,10.320284697508896
Delhi,2009,Petrol,Manual,First,17.8,5,3.25,Honda,City i VTEC E,17,3058.823529411765,1,2,1,0.07835671337451121,2888.8888888888887,1.3947494980662996,8.84,0.32075471698113206,175.59810000000002,7.128554265118143
Delhi,2011,Diesel,Automatic,Second,16.73,5,13.9,BMW,5 Series 2003-2012 525d,15,5000.0,1,3,3,0.10927318290261995,4687.5,1.8281403499608317,11.25,0.19736842105263158,434.91,5.585976627712855
Pune,2009,Petrol,Manual,First,20.36,5,2.25,Hyundai,i10 Sportz 1.2,17,5645.882352941177,1,1,0,0.06591478691235189,5332.222222222223,1.3420250615354843,16.3166,0.1752938750257785,94.44330000000001,9.267182521620391
Bangalore,2016,Petrol,Manual,First,18.9,5,5.75,Hyundai,Grand i10 Sportz,10,1600.0,0,1,1,0.06850459476315406,1454.5454545454545,1.2947368410236115,1.6,0.5882352941176471,98.154,8.602639963586709
Hyderabad,2007,Petrol,Manual,First,17.0,5,2.1,Hyundai,Santro Xing XO,19,3881.315789473684,1,1,1,0.10430653188643048,3687.25,1.773211042069318,14.01155,0.25419760519098267,123.01870659400547,8.149568552253115
Mumbai,2016,Petrol,Manual,First,17.8,5,5.0,Honda,Amaze SX i-VTEC,10,1894.9,0,1,1,0.07237061763575073,1722.6363636363637,1.288196993916363,1.8949,0.5012782595618828,103.8666,8.098271155595997
Delhi,2014,Diesel,Manual,First,13.0,7,16.5,Toyota,Fortuner 4x2 Manual,12,8916.666666666666,2,5,2,0.05650570085294913,8230.76923076923,0.7345741110883387,12.84,0.1111111111111111,502.467,3.2646911099949776
Coimbatore,2018,Diesel,Automatic,First,17.68,5,39.58,Audi,A6 2011-2015 35 TDI Premium,8,6045.875,0,3,3,0.0885823170281594,5374.111111111111,1.5661353650578582,3.86936,0.1620515729130796,343.08144,5.9568733153638815
Delhi,2013,Diesel,Manual,First,22.7,5,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional,13,4384.615384615385,1,2,1,0.059973297690271495,4071.4285714285716,1.3613938575691629,7.41,0.22413793103448276,134.58032,9.08726981585268
Delhi,2014,Diesel,Manual,First,15.1,7,8.1,Mahindra,XUV500 W8 2WD,12,4833.333333333333,1,3,2,0.06424965577592949,4461.538461538462,0.9701698022165353,6.96,0.2033898305084746,305.06,4.749921358917899
Kolkata,2015,Diesel,Manual,First,25.8,5,3.5,Honda,Amaze SX i-DTEC,11,2727.2727272727275,0,2,1,0.06582109474911808,2500.0,1.6981842445272468,3.3,0.3548387096774194,147.7028,10.32826261008807
Kolkata,2013,Diesel,Manual,First,22.07,5,2.79,Volkswagen,Polo Diesel Highline 1.2L,13,2631.692307692308,0,1,0,0.061634695528244625,2443.714285714286,1.3602777303083589,4.44756,0.36919232079972736,88.60610000000001,10.03638017280582
Ahmedabad,2010,Diesel,Manual,First,16.2,5,3.45,Hyundai,Verna Transform SX VGT CRDi,16,4375.125,1,2,1,0.07367716003102667,4117.764705882353,1.1935699925026322,11.20032,0.22534576490803077,164.23,6.4981949458483745
Bangalore,2016,Petrol,Manual,First,18.9,5,4.45,Maruti,Wagon R VXI BS IV,10,6200.0,1,0,0,0.06723446887050653,5636.363636363636,1.2707314616525736,6.2,0.15873015873015872,66.96579999999999,9.45945945945946
Delhi,2010,Petrol,Manual,First,15.26,5,2.65,Volkswagen,Polo Petrol Highline 1.6L,16,3875.0625,1,2,1,0.0647684605351887,3647.1176470588234,0.9883667077669795,9.92016,0.25396422279011444,165.393,5.873749037721324
Pune,2011,Diesel,Manual,Second,23.0,5,3.8,Hyundai,i20 1.4 CRDi Sportz,15,5263.866666666667,1,1,1,0.06446991399393272,4934.875,1.4828080218604527,11.8437,0.18759848920683359,125.64,9.599332220367279
Mumbai,2014,Petrol,Manual,First,18.5,5,4.65,Hyundai,i20 Asta 1.2,12,2515.0,0,1,1,0.06921470336740625,2321.5384615384614,1.2804720122970157,3.6216,0.38486209108402825,99.17145,8.420573509330906
Pune,2017,Petrol,Manual,First,19.83,7,3.95,Datsun,GO Plus T Petrol,9,3650.1111111111113,0,1,0,0.055926544193717405,3285.1,1.109023371361416,2.95659,0.2658710230126141,80.266,9.021838034576888
Kolkata,2010,Diesel,Automatic,First,14.94,5,9.8,Audi,A4 3.0 TDI Quattro Premium,16,1875.0,0,5,4,0.08136164473159366,1764.7058823529412,1.2155429722900093,4.8,0.5161290322580645,716.2338000000001,3.766070078144694
Pune,2009,Petrol,Manual,Second,17.0,5,2.7,Hyundai,i20 2015-2017 Asta,17,3882.352941176471,1,1,0,0.06683375098844298,3666.6666666666665,1.1361737668035305,11.22,0.2537313432835821,95.76,7.737824305871643
Coimbatore,2010,Petrol,Manual,First,14.0,5,2.41,Maruti,Omni 5 Str STD,16,5865.625,1,0,0,0.04396984919099265,5520.588235294118,0.6155778886738972,15.016,0.16868740115972589,27.86,7.795100222717149
Ahmedabad,2014,Petrol,Manual,First,17.71,5,3.9,Toyota,Etios Liva 1.2 G,12,4416.666666666667,1,1,0,0.06591478691235189,4076.923076923077,1.167350876217752,6.36,0.2222222222222222,94.44330000000001,8.060992262175695
Hyderabad,2011,Diesel,Automatic,Second,14.74,5,24.0,Jaguar,XF 3.0 Litre S Premium Luxury,15,5200.0,1,5,5,0.09051119275291974,4875.0,1.334134981178037,11.7,0.189873417721519,810.8036999999999,3.6914600550964187
Delhi,2012,Diesel,Manual,Second,16.0,7,5.75,Mahindra,XUV500 W8 2WD,14,4642.857142857143,1,3,2,0.06424965577592949,4333.333333333333,1.0279944924148718,9.1,0.21212121212121213,305.06,5.033029254482542
Kolkata,2014,Diesel,Automatic,First,22.32,5,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT,12,3333.333333333333,0,2,1,0.07984829324914772,3076.923076923077,1.7822139053209771,4.8,0.2926829268292683,199.83823999999998,8.644461657629744
Mumbai,2017,Diesel,Automatic,First,11.36,7,19.25,Toyota,Innova Crysta 2.8 ZX AT,9,3333.333333333333,0,5,2,0.062250453697912725,3000.0,0.7071651540082885,2.7,0.2903225806451613,472.4825,3.025299600532623
Coimbatore,2017,Petrol,Manual,First,15.1,5,3.91,Maruti,Eeco 5 Seater AC,9,4228.111111111111,0,1,0,0.06103678924662475,3805.3,0.9216555176240337,3.42477,0.23045604691060867,87.308,6.876138433515483
Bangalore,2014,Petrol,Manual,First,25.4,4,2.15,Tata,Nano Twist XT,12,2125.0,0,0,0,0.06009615374984591,1961.5384615384614,1.526442305246086,3.06,0.4528301886792453,23.4,15.640394088669948
Mumbai,2015,Diesel,Automatic,First,22.69,5,20.75,BMW,3 Series 320d Luxury Line,11,5098.818181818182,1,3,3,0.09523809519035684,4673.916666666667,2.160952379869197,6.16957,0.19268835286492544,379.05,7.5759599332220375
Delhi,2010,Petrol,Manual,First,13.5,5,3.35,Honda,Civic 2006-2010 1.8 V MT,16,4443.0,1,2,2,0.07226236794204426,4181.64705882353,0.9755419672175976,11.37408,0.2219509488403063,233.87,4.82315112540193
Ahmedabad,2014,Diesel,Manual,First,12.99,7,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater,12,4583.333333333333,1,4,1,0.040336808323842496,4230.7692307692305,0.523975140126714,6.6,0.21428571428571427,250.8964,3.7178019461934744
Bangalore,2014,Diesel,Automatic,First,23.3,5,20.0,Volvo,V40 Cross Country D3,12,2725.0,0,3,2,0.07560483867157014,2515.3846153846152,1.7615927410475842,3.924,0.35608308605341243,297.6,7.8083109919571045
Coimbatore,2016,Petrol,Automatic,First,19.15,5,6.55,Nissan,Micra XV CVT,10,3988.2,0,1,0,0.06338898158314775,3625.6363636363635,1.2138989973172793,3.9882,0.2446064282569346,90.97612,8.712465878070974
Mumbai,2009,Petrol,Automatic,First,10.8,5,7.0,BMW,5 Series 2010-2013 525i,17,7529.411764705882,2,4,3,0.08610332395430384,7111.111111111111,0.9299158987064815,21.76,0.13178294573643412,536.855,3.08836145267372
Mumbai,2016,Diesel,Manual,First,24.3,5,7.5,Maruti,Vitara Brezza VDi,10,5500.0,1,1,1,0.07091346148163985,5000.0,1.7231971140038485,5.5,0.17857142857142858,110.448,10.809608540925266
Mumbai,2005,Petrol,Manual,Second,17.0,5,0.85,Hyundai,Santro Xing XL eRLX Euro III,21,4857.142857142857,2,1,1,0.10430653188643048,4636.363636363636,1.773211042069318,21.42,0.20388349514563106,123.01870659400547,8.149568552253115
