Location,Year,Fuel_Type,Transmission,Owner_Type,Consumation,Engine,Seats,Price,Brand,Model
Kolkata,2010,Petrol,Manual,First,20.36,1197,5,2.07,Hyundai,i10 Asta
Hyderabad,2010,Diesel,Automatic,First,13.29,1995,5,7.75,Nissan,X-Trail SLX AT
Hyderabad,2010,Petrol,Manual,First,18.2,998,5,2.25,Maruti,Zen Estilo VXI BSIII
Mumbai,2017,Diesel,Manual,First,13.68,2393,8,16.5,Toyota,Innova Crysta 2.4 GX MT 8S
Bangalore,2010,Diesel,Manual,First,20.0,1399,5,2.75,Ford,Figo Diesel Titanium
Delhi,2015,Petrol,Automatic,First,11.74,1796,5,26.7,Mercedes-Benz,New C-Class C 200 CGI Avantgarde
Pune,2011,Diesel,Manual,Second,15.8,2148,5,10.0,Mercedes-Benz,New C-Class 200 CDI Classic
Chennai,2016,Diesel,Manual,First,25.0,1396,5,2.5,Tata,Indica V2 eLS
Jaipur,2012,Diesel,Automatic,First,16.55,1968,5,13.5,Audi,A4 2.0 TDI Multitronic
Mumbai,2007,Petrol,Automatic,Second,16.4,1497,5,1.85,Honda,City ZX CVT
Coimbatore,2019,Diesel,Automatic,First,0.0,1950,5,35.67,Mercedes-Benz,C-Class Progressive C 220d
Pune,2016,Diesel,Manual,First,24.52,1248,7,8.15,Maruti,Ertiga SHVS VDI
Mumbai,2018,Diesel,Manual,First,22.1,1396,5,10.5,Hyundai,Creta 1.4 E Plus Diesel
Mumbai,2008,Petrol,Automatic,First,8.5,4806,5,14.5,Porsche,Cayenne 2009-2014 Turbo
Mumbai,2015,Diesel,Manual,First,15.1,2179,7,9.65,Mahindra,XUV500 W8 4WD
Kochi,2012,Petrol,Automatic,First,16.95,1197,5,3.48,Hyundai,i10 Sportz 1.2 AT
Kochi,2015,Diesel,Manual,First,19.64,1461,5,6.92,Nissan,Terrano XV D Pre
Coimbatore,2016,Petrol,Automatic,Second,16.5,1198,5,6.46,Honda,Brio VX AT
Delhi,2014,Diesel,Automatic,Second,18.53,1968,5,29.5,Audi,A6 2.0 TDI Design Edition
Jaipur,2008,Diesel,Manual,First,17.8,1399,5,2.0,Ford,Fiesta 1.4 SXi TDCi
Chennai,2006,Petrol,Manual,Third,12.4,1998,8,4.5,Toyota,Innova 2.0 G1
Hyderabad,2012,Diesel,Manual,First,12.8,2494,7,11.75,Toyota,Innova 2.5 VX 7 STR BSIV
Hyderabad,2005,Petrol,Manual,First,0.0,1086,5,1.3,Hyundai,Santro Xing XL
Jaipur,2012,Diesel,Manual,First,22.9,1248,5,3.75,Maruti,Swift VDI
Pune,2017,Petrol,Manual,First,17.57,1193,5,4.5,Tata,Zest Revotron 1.2T XE
Kochi,2016,Petrol,Manual,First,18.0,1198,5,4.82,Honda,Amaze SX i-VTEC
Hyderabad,2012,Diesel,Manual,First,20.0,1399,5,2.8,Ford,Figo Diesel ZXI
Jaipur,2013,Diesel,Manual,First,23.2,1248,5,3.11,Maruti,Ritz VDi
Delhi,2009,Petrol,Manual,First,17.8,1497,5,3.25,Honda,City i VTEC E
Delhi,2011,Diesel,Automatic,Second,16.73,1995,5,13.9,BMW,5 Series 2003-2012 525d
Pune,2009,Petrol,Manual,First,20.36,1197,5,2.25,Hyundai,i10 Sportz 1.2
Bangalore,2016,Petrol,Manual,First,18.9,1197,5,5.75,Hyundai,Grand i10 Sportz
Hyderabad,2007,Petrol,Manual,First,17.0,1086,5,2.1,Hyundai,Santro Xing XO
Mumbai,2016,Petrol,Manual,First,17.8,1198,5,5.0,Honda,Amaze SX i-VTEC
Delhi,2014,Diesel,Manual,First,13.0,2982,7,16.5,Toyota,Fortuner 4x2 Manual
Coimbatore,2018,Diesel,Automatic,First,17.68,1968,5,39.58,Audi,A6 2011-2015 35 TDI Premium
Delhi,2013,Diesel,Manual,First,22.7,1498,5,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional
Delhi,2014,Diesel,Manual,First,15.1,2179,7,8.1,Mahindra,XUV500 W8 2WD
Kolkata,2015,Diesel,Manual,First,25.8,1498,5,3.5,Honda,Amaze SX i-DTEC
Kolkata,2013,Diesel,Manual,First,22.07,1199,5,2.79,Volkswagen,Polo Diesel Highline 1.2L
Ahmedabad,2010,Diesel,Manual,First,16.2,1493,5,3.45,Hyundai,Verna Transform SX VGT CRDi
Bangalore,2016,Petrol,Manual,First,18.9,998,5,4.45,Maruti,Wagon R VXI BS IV
Delhi,2010,Petrol,Manual,First,15.26,1598,5,2.65,Volkswagen,Polo Petrol Highline 1.6L
Pune,2011,Diesel,Manual,Second,23.0,1396,5,3.8,Hyundai,i20 1.4 CRDi Sportz
Mumbai,2014,Petrol,Manual,First,18.5,1197,5,4.65,Hyundai,i20 Asta 1.2
Pune,2017,Petrol,Manual,First,19.83,1198,7,3.95,Datsun,GO Plus T Petrol
Kolkata,2010,Diesel,Automatic,First,14.94,2967,5,9.8,Audi,A4 3.0 TDI Quattro Premium
Pune,2009,Petrol,Manual,Second,17.0,1197,5,2.7,Hyundai,i20 2015-2017 Asta
Coimbatore,2010,Petrol,Manual,First,14.0,796,5,2.41,Maruti,Omni 5 Str STD
Ahmedabad,2014,Petrol,Manual,First,17.71,1197,5,3.9,Toyota,Etios Liva 1.2 G
Hyderabad,2011,Diesel,Automatic,Second,14.74,2993,5,24.0,Jaguar,XF 3.0 Litre S Premium Luxury
Delhi,2012,Diesel,Manual,Second,16.0,2179,7,5.75,Mahindra,XUV500 W8 2WD
Kolkata,2014,Diesel,Automatic,First,22.32,1582,5,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT
Mumbai,2017,Diesel,Automatic,First,11.36,2755,7,19.25,Toyota,Innova Crysta 2.8 ZX AT
Coimbatore,2017,Petrol,Manual,First,15.1,1196,5,3.91,Maruti,Eeco 5 Seater AC
Bangalore,2014,Petrol,Manual,First,25.4,624,4,2.15,Tata,Nano Twist XT
Mumbai,2015,Diesel,Automatic,First,22.69,1995,5,20.75,BMW,3 Series 320d Luxury Line
Delhi,2010,Petrol,Manual,First,13.5,1799,5,3.35,Honda,Civic 2006-2010 1.8 V MT
Ahmedabad,2014,Diesel,Manual,First,12.99,2494,7,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater
Bangalore,2014,Diesel,Automatic,First,23.3,1984,5,20.0,Volvo,V40 Cross Country D3
Coimbatore,2016,Petrol,Automatic,First,19.15,1198,5,6.55,Nissan,Micra XV CVT
Mumbai,2009,Petrol,Automatic,First,10.8,2497,5,7.0,BMW,5 Series 2010-2013 525i
Mumbai,2016,Diesel,Manual,First,24.3,1248,5,7.5,Maruti,Vitara Brezza VDi
Mumbai,2005,Petrol,Manual,Second,17.0,1086,5,0.85,Hyundai,Santro Xing XL eRLX Euro III
Pune,2014,Diesel,Automatic,Second,15.0,2143,5,16.75,Mercedes-Benz,B Class B200 CDI
Kolkata,2018,Diesel,Manual,First,22.0,1582,5,10.95,Hyundai,Verna CRDi 1.6 SX Option
Pune,2011,Petrol,Manual,First,18.9,998,5,2.45,Maruti,Wagon R LXI BS IV
Coimbatore,2017,Petrol,Automatic,First,21.9,624,4,3.23,Tata,Nano XTA
Kolkata,2014,Diesel,Manual,First,12.05,2179,8,7.75,Mahindra,Scorpio VLX
Kolkata,2009,Petrol,Automatic,First,11.7,1796,5,9.35,Mercedes-Benz,New C-Class 200 K AT
Pune,2013,CNG,Manual,First,26.6,998,5,3.25,Maruti,Wagon R LXI CNG
Bangalore,2007,Petrol,Manual,Second,10.8,2354,5,5.25,Honda,CR-V 2.4 MT
Pune,2015,Diesel,Automatic,First,21.21,1498,5,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT
Kochi,2017,Petrol,Manual,First,20.73,1373,5,7.47,Maruti,Ciaz VXi Plus
Jaipur,2016,Diesel,Automatic,First,16.0,2179,7,13.25,Mahindra,XUV500 AT W10 FWD
Coimbatore,2016,Petrol,Manual,First,21.1,1197,5,5.81,Maruti,Ritz VXI ABS
Hyderabad,2014,Petrol,Manual,First,24.07,998,5,2.6,Maruti,Alto K10 VXI
Kolkata,2017,Petrol,Automatic,First,19.0,2996,2,54.0,Mercedes-Benz,SLC 43 AMG
Kochi,2019,Petrol,Automatic,First,17.0,1591,5,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus
Chennai,2010,Petrol,Manual,Second,19.7,796,5,1.6,Maruti,Alto LXi BSIII
Coimbatore,2015,Diesel,Automatic,First,20.58,1995,5,17.22,BMW,1 Series 118d Base
Mumbai,2015,Petrol,Automatic,First,19.0,1199,5,6.0,Honda,Jazz 1.2 V CVT i VTEC
Delhi,2012,Petrol,Manual,First,13.5,1799,5,3.95,Honda,Civic 2006-2010 1.8 V MT
Kochi,2014,Diesel,Automatic,First,19.27,2143,5,17.95,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
Kolkata,2014,Diesel,Manual,First,25.8,1498,5,3.7,Honda,Amaze SX i-DTEC
Kochi,2016,Petrol,Manual,First,22.0,1197,5,5.43,Maruti,Swift VVT VXI
Kochi,2008,Petrol,Manual,Third,17.0,1086,5,1.67,Hyundai,Santro Xing XO eRLX Euro II
Coimbatore,2012,Diesel,Manual,First,11.5,2982,7,13.49,Toyota,Fortuner 3.0 Diesel
Pune,2014,Petrol,Manual,First,18.6,1199,5,2.85,Chevrolet,Beat LT Option
Chennai,2013,Diesel,Manual,First,21.14,1498,5,4.75,Skoda,Rapid 1.5 TDI Elegance
Kochi,2018,Petrol,Manual,First,20.73,1373,5,9.9,Maruti,Ciaz 1.4 Alpha
Mumbai,2013,Petrol,Automatic,First,11.05,2894,4,37.0,Audi,RS5 Coupe
Mumbai,2014,Diesel,Automatic,First,21.76,1995,5,26.5,BMW,3 Series Luxury Line
Coimbatore,2015,Diesel,Automatic,First,17.11,1968,5,23.32,Audi,A4 2.0 TDI 177 Bhp Premium Plus
Chennai,2016,Diesel,Manual,First,22.9,1248,5,6.25,Maruti,Swift VDI
Kolkata,2010,Petrol,Automatic,First,7.81,5461,5,30.0,Mercedes-Benz,S Class 2005 2013 S 500
Coimbatore,2016,Diesel,Automatic,First,21.66,1498,5,9.86,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package
Pune,2012,Diesel,Automatic,First,17.2,1968,5,8.5,Skoda,Superb Elegance 2.0 TDI CR AT
Kochi,2019,Petrol,Manual,First,21.1,814,5,4.23,Hyundai,EON Magna Plus
Jaipur,2012,Diesel,Manual,First,22.07,1199,5,3.5,Volkswagen,Polo Diesel Trendline 1.2L
Kolkata,2016,Petrol,Manual,First,20.63,1198,5,2.5,Datsun,GO NXT
Kolkata,2013,Petrol,Manual,First,19.4,1198,5,2.39,Honda,Brio S MT
Delhi,2013,Petrol,Automatic,First,14.8,1595,5,11.25,Mercedes-Benz,B Class B180
Kochi,2015,Diesel,Manual,First,26.0,1498,5,7.11,Honda,City i DTEC V
Ahmedabad,2016,Diesel,Manual,First,12.99,2494,7,10.9,Toyota,Innova 2.5 G (Diesel) 7 Seater
Ahmedabad,2017,Petrol,Manual,First,20.4,1197,5,6.2,Maruti,Swift VXI Optional
Mumbai,2012,Diesel,Manual,First,15.1,2179,7,7.9,Mahindra,XUV500 W8 2WD
Kochi,2014,Diesel,Manual,First,22.7,1498,5,4.42,Ford,Ecosport 1.5 DV5 MT Ambiente
Mumbai,2012,Diesel,Manual,First,13.0,2982,7,13.5,Toyota,Fortuner 4x2 Manual
Chennai,2013,Diesel,Automatic,First,21.5,1498,5,6.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy
Jaipur,2010,Diesel,Manual,Second,20.0,1399,5,2.1,Ford,Figo Diesel Titanium
Mumbai,2015,Diesel,Automatic,First,15.3,2993,5,45.0,BMW,X5 xDrive 30d
Coimbatore,2017,Diesel,Automatic,First,19.27,2143,5,33.66,Mercedes-Benz,New C-Class C 220 CDI Style
Bangalore,2012,Petrol,Manual,Second,19.4,1198,5,3.65,Honda,Brio V MT
Delhi,2013,Petrol,Manual,First,20.36,1197,5,2.75,Hyundai,i10 Magna 1.2
Bangalore,2016,Diesel,Automatic,First,17.9,2143,5,42.5,Mercedes-Benz,GLC 220
Kolkata,2019,Petrol,Manual,First,18.9,1197,5,6.5,Hyundai,Grand i10 1.2 Kappa Asta
Mumbai,2012,Diesel,Automatic,Second,17.68,1968,5,19.0,Audi,A6 2011-2015 2.0 TDI Premium Plus
Mumbai,2013,Petrol,Automatic,Second,14.4,1598,5,4.45,Volkswagen,Vento Petrol Highline AT
Jaipur,2017,Diesel,Automatic,Second,16.6,1998,5,23.0,Mini,Countryman Cooper D
Bangalore,2014,Diesel,Manual,First,22.54,1396,5,8.35,Hyundai,i20 Asta 1.4 CRDi
Mumbai,2014,Diesel,Automatic,First,17.68,1968,5,22.95,Audi,A6 2011-2015 2.0 TDI Premium Plus
Jaipur,2012,Diesel,Manual,First,25.44,936,5,1.5,Chevrolet,Beat Diesel LT
Kochi,2012,Petrol,Automatic,First,13.7,1798,5,6.89,Skoda,Superb Elegance 1.8 TSI AT
Chennai,2006,Diesel,Manual,Second,17.8,1399,5,1.45,Ford,Fiesta 1.4 TDCi EXI Limited Edition
Hyderabad,2014,Diesel,Automatic,First,22.48,1995,5,33.5,BMW,5 Series 520d Luxury Line
Jaipur,2007,Petrol,Manual,First,12.9,1598,5,1.25,Chevrolet,Optra Magnum 1.6 LS BS3
Hyderabad,2012,Diesel,Manual,First,22.07,1199,5,4.2,Volkswagen,Polo Diesel Highline 1.2L
Mumbai,2015,Diesel,Manual,First,19.98,1461,8,6.75,Renault,Lodgy 110PS RxZ 8 Seater
Bangalore,2014,Diesel,Automatic,First,13.0,2143,5,32.0,Mercedes-Benz,E-Class E250 CDI Avantgrade
Kochi,2017,Petrol,Manual,First,21.4,1197,5,7.5,Maruti,Baleno Alpha
Delhi,2012,Diesel,Manual,First,22.32,1582,5,4.6,Hyundai,Verna 1.6 SX
Kochi,2017,Petrol,Manual,First,19.81,1086,5,4.04,Hyundai,i10 Magna 1.1
Kochi,2016,Diesel,Manual,First,15.4,1997,7,10.31,Mahindra,Scorpio 1.99 S10 4WD
Coimbatore,2018,Diesel,Automatic,First,12.7,2179,5,55.76,Land,Rover Range Rover 2.2L Dynamic
Chennai,2010,Diesel,Manual,First,20.0,1399,5,2.6,Ford,Figo Diesel ZXI
Mumbai,2016,Diesel,Manual,First,25.47,1248,7,8.5,Maruti,Ertiga ZDI
Kolkata,2014,Diesel,Manual,First,25.8,1498,5,3.5,Honda,Amaze S i-Dtech
Jaipur,2015,Petrol,Manual,First,20.36,1197,5,3.55,Hyundai,i10 Magna
Kolkata,2013,Diesel,Manual,First,25.8,1498,5,3.25,Honda,Amaze S i-Dtech
Hyderabad,2008,Diesel,Manual,First,17.5,1896,5,4.5,Skoda,Laura Ambiente
Delhi,2014,Diesel,Manual,First,19.87,1461,5,5.35,Renault,Duster 85PS Diesel RxL
Chennai,2017,Diesel,Manual,Second,17.45,1493,7,6.5,Mahindra,NuvoSport N6
Mumbai,2016,Diesel,Manual,First,24.3,1248,5,9.0,Maruti,Vitara Brezza ZDi Plus Dual Tone
Kochi,2016,Petrol,Manual,First,18.6,1197,5,6.0,Hyundai,i20 Asta Option 1.2
Jaipur,2009,Petrol,Manual,First,14.7,1390,5,2.75,Skoda,Fabia 1.4 MPI Ambiente
Pune,2010,Petrol,Manual,First,15.64,1193,5,1.5,Tata,Indigo eCS GLX
Delhi,2015,Diesel,Automatic,First,15.73,1968,5,19.9,Audi,Q3 2012-2015 35 TDI Quattro Premium Plus
Mumbai,2014,Petrol,Automatic,First,14.7,1798,5,10.0,Skoda,Octavia Elegance 1.8 TSI AT
Delhi,2014,Diesel,Manual,First,23.59,1364,5,3.0,Toyota,Etios Liva GD SP
Kochi,2014,Petrol,Automatic,First,14.8,1595,5,11.96,Mercedes-Benz,B Class B180
Kolkata,2013,Diesel,Manual,First,27.4,1498,5,3.25,Honda,Amaze S Diesel
Jaipur,2012,Diesel,Manual,Second,22.32,1582,5,4.75,Hyundai,Verna 1.6 SX
Mumbai,2014,Diesel,Manual,First,20.46,1461,5,5.95,Renault,Duster 85PS Diesel RxL Optional
Delhi,2015,Petrol,Manual,Second,15.29,1591,5,8.15,Hyundai,Creta 1.6 VTVT S
Mumbai,2016,Petrol,Automatic,First,20.51,998,5,4.22,Maruti,Wagon R AMT VXI
Kolkata,2010,Petrol,Automatic,First,11.74,1796,5,10.5,Mercedes-Benz,New C-Class C250 Avantgarde
Delhi,2012,Diesel,Automatic,First,11.8,2967,5,45.0,Audi,A8 L 3.0 TDI quattro
Pune,2012,Petrol,Manual,Second,19.81,1086,5,2.9,Hyundai,i10 Magna 1.1
Mumbai,2017,Petrol,Automatic,First,14.3,1598,5,8.9,Skoda,Rapid 1.6 MPI AT Style Black Package
Hyderabad,2017,Petrol,Automatic,First,14.67,1798,5,26.0,Skoda,Superb Style 1.8 TSI AT
Coimbatore,2018,Petrol,Manual,First,17.19,1197,5,8.22,Hyundai,i20 Active 1.2 SX
Kolkata,2014,Diesel,Manual,Second,25.8,1498,5,3.5,Honda,Amaze VX i-DTEC
Chennai,2004,Petrol,Manual,Second,18.9,998,5,1.25,Maruti,Wagon R LXI
Hyderabad,2013,Diesel,Manual,First,21.03,1461,5,3.7,Mahindra,Verito 1.5 D4 BSIV
Coimbatore,2018,Diesel,Automatic,First,19.27,2143,5,39.41,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C
Kolkata,2013,Petrol,Manual,First,22.5,998,5,2.65,Maruti,Wagon R VXI
Coimbatore,2015,Diesel,Manual,Second,19.01,1461,5,8.92,Nissan,Terrano XV Premium 110 PS Anniversary Edition
Delhi,2013,Diesel,Manual,First,17.8,1248,5,4.1,Maruti,Swift VDI BSIV
Kochi,2017,Petrol,Automatic,First,16.82,1998,4,35.67,Mini,Cooper Convertible S
Jaipur,2007,Diesel,Manual,Second,17.2,1396,5,0.85,Tata,Indica V2 DLS BSII
Kochi,2016,Petrol,Manual,Second,18.6,1199,5,3.32,Chevrolet,Beat LT
Mumbai,2012,Diesel,Manual,First,22.07,1199,5,3.6,Volkswagen,Polo Diesel Comfortline 1.2L
Hyderabad,2016,Diesel,Manual,First,22.9,1248,5,6.8,Maruti,Swift ZDi
Kolkata,2012,Diesel,Manual,First,20.0,1399,5,2.5,Ford,Figo Diesel EXI
Kochi,2019,Diesel,Automatic,First,11.36,2755,7,19.64,Toyota,Innova Crysta 2.8 GX AT
Mumbai,2011,Diesel,Automatic,Second,11.72,2199,7,7.0,Hyundai,Santa Fe 4x4 AT
Kolkata,2011,Petrol,Manual,First,17.4,1497,5,3.87,Honda,City i-VTEC V
Kochi,2018,Petrol,Manual,First,18.6,1197,5,6.27,Hyundai,i20 1.2 Magna Executive
Kochi,2015,Diesel,Automatic,First,19.27,2143,5,18.12,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C
Mumbai,2013,Diesel,Manual,First,25.44,936,5,2.65,Chevrolet,Beat Diesel LT
Kochi,2015,Diesel,Manual,First,22.54,1396,5,7.2,Hyundai,i20 Sportz 1.4 CRDi
Coimbatore,2015,Diesel,Manual,First,12.99,2494,7,14.3,Toyota,Innova 2.5 Z Diesel 7 Seater
Chennai,2013,Diesel,Manual,First,20.77,1248,7,6.9,Maruti,Ertiga VDI
Mumbai,2014,Diesel,Manual,First,12.8,2494,7,10.75,Toyota,Innova 2.5 V Diesel 7-seater
Mumbai,2007,Petrol,Manual,Third,17.0,1086,5,0.95,Hyundai,Santro Xing XO eRLX Euro II
Kochi,2016,Petrol,Manual,First,17.8,1497,5,8.09,Honda,City i VTEC V
Ahmedabad,2014,Diesel,Automatic,First,17.05,1995,5,18.5,BMW,X1 sDrive20d
Mumbai,2017,Diesel,Manual,First,24.0,1120,5,4.75,Hyundai,Grand i10 CRDi Era
Chennai,2016,Diesel,Manual,First,28.09,1248,5,8.45,Maruti,Ciaz 1.3 Alpha
Kolkata,2012,Diesel,Manual,First,20.5,1598,5,3.5,Skoda,Rapid Leisure 1.6 TDI MT
Kochi,2006,Diesel,Manual,First,13.1,1493,5,1.8,Hyundai,Accent CRDi
Jaipur,2014,Diesel,Manual,Second,19.91,1498,5,3.7,Volkswagen,Polo GT 1.5 TDI
Coimbatore,2017,Petrol,Manual,First,18.7,1199,5,7.17,Honda,Jazz 1.2 VX i VTEC
Jaipur,2010,Petrol,Manual,First,19.81,1086,5,1.75,Hyundai,i10 Era
Kochi,2018,Diesel,Automatic,First,16.38,1995,5,21.99,Hyundai,Tucson 2.0 e-VGT 2WD AT GLS
Pune,2017,Diesel,Manual,First,13.68,2393,7,18.65,Toyota,Innova Crysta 2.4 ZX MT
Jaipur,2011,Petrol,Manual,Third,19.7,796,5,1.85,Maruti,Omni MPI CARGO BSIII W/ IMMOBILISER
Coimbatore,2017,Petrol,Manual,Second,20.4,1197,5,5.95,Maruti,Swift VXI BSIV
Mumbai,2014,Petrol,Manual,First,18.9,1197,5,3.75,Hyundai,Grand i10 Magna
Pune,2012,Diesel,Manual,First,22.9,1248,5,3.75,Maruti,Swift VDI
Hyderabad,2008,Diesel,Manual,First,22.0,1582,5,2.6,Hyundai,Verna CRDi 1.6 SX
Hyderabad,2006,Petrol,Manual,First,0.0,1086,5,1.75,Hyundai,Santro Xing XL
Mumbai,2010,Petrol,Manual,First,17.0,1197,5,2.8,Hyundai,i20 1.2 Sportz
Coimbatore,2017,Diesel,Automatic,First,11.57,2987,5,61.29,Mercedes-Benz,GLE 350d
Bangalore,2014,Diesel,Manual,Second,15.8,2148,5,18.0,Mercedes-Benz,New C-Class C 220 CDI CLASSIC
Hyderabad,2014,Diesel,Manual,First,23.2,1248,5,4.35,Maruti,Ritz ZDi
Bangalore,2016,Diesel,Manual,First,19.67,1582,5,13.75,Hyundai,Creta 1.6 CRDi SX
