Location,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,KM_bin_encoded,Engine-bins,Power_bins,Power_to_Engine_Ratio,Performance_Index,Economy_Index
Kolkata,Petrol,Automatic,First,14.4,5,2.85,Volkswagen,Vento Petrol Highline AT,0,2,1,0.064831038757928,165.5528,5.542725173210162
Mumbai,Petrol,Manual,First,16.8,5,4.25,Honda,City Corporate Edition,1,2,1,0.07768871070294675,174.1011,6.728073688426112
Hyderabad,Diesel,Manual,First,23.08,5,4.25,Nissan,Micra Diesel XV,1,2,0,0.04318959613744723,92.18910000000001,9.378301503453878
Hyderabad,Petrol,Manual,Second,20.92,5,2.75,Maruti,Alto K10 2010-2014 VXI,1,0,0,0.06723446887050653,66.96579999999999,10.470470470470472
Kochi,Petrol,Manual,First,17.5,5,9.9,Honda,WRV i-VTEC VX,0,1,1,0.07397831520101891,106.35130000000001,7.958162801273306
Mumbai,Diesel,Manual,Fourth & Above,12.8,7,4.0,Toyota,Innova 2.5 V Diesel 7-seater,5,4,1,0.040898155556977484,254.388,3.6634230108757873
Bangalore,Diesel,Manual,First,19.01,5,7.75,Renault,Duster 110PS Diesel RxZ Pack,1,2,1,0.07422997941531144,158.44545000000002,7.724502234863876
Delhi,Petrol,Manual,First,14.53,5,6.75,Toyota,Corolla Altis G,1,2,2,0.07680756391723717,248.3038,5.192994996426018
Bangalore,Diesel,Automatic,Second,11.18,7,12.5,Mahindra,Ssangyong Rexton RX7,1,5,3,0.06824925813492239,496.064,3.024891774891775
Kolkata,Diesel,Automatic,First,12.4,5,11.5,Audi,A6 2.7 TDI,0,5,3,0.06653076350388037,484.291,3.3531638723634396
Coimbatore,Petrol,Manual,Second,16.09,5,6.98,Volkswagen,Vento 1.6 Highline,1,2,1,0.0647684605351887,165.393,6.193225558121632
Jaipur,Petrol,Manual,Second,14.0,5,1.85,Maruti,Wagon R LXI BSIII,1,1,0,0.060320452346540564,67.904,6.792819019893256
Kochi,Diesel,Manual,First,24.3,5,8.63,Maruti,Vitara Brezza ZDi Plus,0,1,1,0.07091346148163985,110.448,10.809608540925266
Delhi,Petrol,Manual,First,18.15,5,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW,1,1,1,0.06844741229678847,98.236,8.257506824385805
Pune,Diesel,Automatic,First,11.74,5,28.0,Mercedes-Benz,M-Class ML 350 CDI,1,5,4,0.08530297954961401,761.0876,2.944569852019062
Chennai,Diesel,Manual,First,22.07,5,5.0,Volkswagen,Polo Diesel Trendline 1.2L,1,1,0,0.061634695528244625,88.60610000000001,10.03638017280582
Delhi,Petrol,Manual,Second,19.7,5,1.25,Maruti,Alto LXi,1,0,0,0.05816582907265599,36.8548,10.96881959910913
Kochi,Petrol,Manual,First,25.4,4,1.53,Tata,Nano LX SE,0,0,0,0.06009615374984591,23.4,15.640394088669948
Coimbatore,Diesel,Manual,First,25.32,6,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,0,1,0,0.06427378959576478,92.246,11.519563239308463
Kochi,Petrol,Manual,First,18.5,5,4.74,Hyundai,i20 Magna Optional 1.2,0,1,1,0.06925647446177403,99.2313,8.420573509330906
Bangalore,Petrol,Automatic,First,14.62,5,8.85,Hyundai,Elantra 2.0 SX Option AT,0,3,2,0.07499749871185717,299.69007999999997,4.874958319439813
Mumbai,Petrol,Automatic,First,14.28,5,10.11,Toyota,Corolla Altis G AT,1,2,2,0.07676863177042902,248.17794,5.103645461043603
Ahmedabad,Diesel,Manual,Second,14.9,5,4.25,Hyundai,Elantra CRDi,1,3,1,0.056353591131916826,223.39020000000002,4.9816115011701765
Bangalore,Petrol,Manual,First,11.25,7,10.95,Toyota,Innova Crysta 2.7 GX MT,1,5,2,0.06076466218976813,441.0078,3.0454791553871146
Jaipur,Diesel,Manual,First,24.4,5,3.85,Hyundai,Xcent 1.1 CRDi S,1,1,0,0.06339285708625637,79.52,11.509433962264149
Jaipur,Diesel,Manual,Second,16.55,6,5.5,Mahindra,Thar CRDe AC,1,4,1,0.04203362688469431,262.29,4.731275014293883
Kochi,Diesel,Automatic,First,17.11,5,21.43,Audi,A4 2.0 TDI 177 Bhp Premium Plus,0,3,3,0.0885823170281594,343.08144,5.764824797843666
Delhi,Diesel,Manual,First,22.9,5,4.25,Maruti,Swift LDI,1,1,0,0.059294871747359874,92.352,10.186832740213521
Kolkata,Diesel,Manual,First,17.8,5,3.3,Maruti,Swift Ldi BSIV,1,1,0,0.060096153797999874,93.6,7.918149466192171
Delhi,Diesel,Manual,First,28.4,5,3.85,Maruti,Swift VDI,1,1,0,0.059294871747359874,92.352,12.633451957295371
Chennai,Petrol,Manual,Third,18.9,5,3.6,Hyundai,Grand i10 Sportz,1,1,1,0.06850459476315406,98.154,8.602639963586709
Kolkata,Petrol,Manual,First,15.04,5,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline,0,2,1,0.06458072586697075,164.9136,5.789068514241724
Kochi,Petrol,Manual,First,25.17,5,3.3,Renault,KWID RXT,0,0,0,0.06670838539836246,42.5867,13.991106170094499
Kolkata,Petrol,Manual,First,20.36,5,2.07,Hyundai,i10 Asta,0,1,0,0.06591478691235189,94.44330000000001,9.267182521620391
Hyderabad,Diesel,Automatic,First,13.29,5,7.75,Nissan,X-Trail SLX AT,2,3,2,0.07398496236892983,294.462,4.437395659432387
Hyderabad,Petrol,Manual,First,18.2,5,2.25,Maruti,Zen Estilo VXI BSIII,0,0,0,0.06723446887050653,66.96579999999999,9.10910910910911
Mumbai,Diesel,Manual,First,13.68,8,16.5,Toyota,Innova Crysta 2.4 GX MT 8S,0,4,2,0.06176347678154473,353.6854,4.031830238726791
Bangalore,Diesel,Manual,First,20.0,5,2.75,Ford,Figo Diesel Titanium,1,1,0,0.04860614721329081,95.132,8.336807002917881
Delhi,Petrol,Automatic,First,11.74,5,26.7,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,1,2,3,0.10356347432986443,334.056,4.198855507868384
Pune,Diesel,Manual,Second,15.8,5,10.0,Mercedes-Benz,New C-Class 200 CDI Classic,1,3,2,0.07914338916240997,365.16,5.019059720457434
Chennai,Diesel,Manual,First,25.0,5,2.5,Tata,Indica V2 eLS,3,1,0,0.049426934062015086,96.324,10.434056761268781
Jaipur,Diesel,Automatic,First,16.55,5,13.5,Audi,A4 2.0 TDI Multitronic,1,3,2,0.07113821134596635,275.52,5.576145552560647
Mumbai,Petrol,Automatic,Second,16.4,5,1.85,Honda,City ZX CVT,1,2,0,0.052104208382027915,116.766,6.567881457749299
Pune,Diesel,Manual,First,24.52,7,8.15,Maruti,Ertiga SHVS VDI,1,1,1,0.07091346148163985,110.448,10.90747330960854
Mumbai,Diesel,Manual,First,22.1,5,10.5,Hyundai,Creta 1.4 E Plus Diesel,0,1,1,0.06353868190290925,123.8252,9.223706176961603
Mumbai,Petrol,Automatic,First,8.5,5,14.5,Porsche,Cayenne 2009-2014 Turbo,1,10,9,0.10403662086890623,2403.0,1.4640027557698931
Mumbai,Diesel,Manual,First,15.1,7,9.65,Mahindra,XUV500 W8 4WD,1,3,2,0.06424965577592949,305.06,4.749921358917899
Kochi,Petrol,Automatic,First,16.95,5,3.48,Hyundai,i10 Sportz 1.2 AT,0,1,0,0.06591478691235189,94.44330000000001,7.715065999089667
Kochi,Diesel,Manual,First,19.64,5,6.92,Nissan,Terrano XV D Pre,1,2,1,0.07426420255012717,158.5185,7.980495733441689
Coimbatore,Petrol,Automatic,Second,16.5,5,6.46,Honda,Brio VX AT,0,1,1,0.0724540900897712,103.98639999999999,7.506824385805278
Delhi,Diesel,Automatic,Second,18.53,5,29.5,Audi,A6 2.0 TDI Design Edition,1,3,3,0.09539634141494088,369.47232,6.243261455525607
Jaipur,Diesel,Manual,First,17.8,5,2.0,Ford,Fiesta 1.4 SXi TDCi,2,1,1,0.08096990253895649,158.4743743324251,7.419758232596915
Chennai,Petrol,Manual,Third,12.4,8,4.5,Toyota,Innova 2.0 G1,4,3,2,0.06606606603299996,263.736,4.136090727151434
Hyderabad,Diesel,Manual,First,12.8,7,11.75,Toyota,Innova 2.5 VX 7 STR BSIV,2,4,1,0.040898155556977484,254.388,3.6634230108757873
Jaipur,Diesel,Manual,First,22.9,5,3.75,Maruti,Swift VDI,1,1,0,0.059294871747359874,92.352,10.186832740213521
Pune,Petrol,Manual,First,17.57,5,4.5,Tata,Zest Revotron 1.2T XE,1,1,1,0.0743503771380131,105.8191,8.011855905152759
Kochi,Petrol,Manual,First,18.0,5,4.82,Honda,Amaze SX i-VTEC,1,1,1,0.07237061763575073,103.8666,8.18926296633303
Hyderabad,Diesel,Manual,First,20.0,5,2.8,Ford,Figo Diesel ZXI,1,1,0,0.04860614721329081,95.132,8.336807002917881
Jaipur,Diesel,Manual,First,23.2,5,3.11,Maruti,Ritz VDi,1,1,0,0.05924679482432147,92.27712,10.320284697508896
Delhi,Petrol,Manual,First,17.8,5,3.25,Honda,City i VTEC E,1,2,1,0.07835671337451121,175.59810000000002,7.128554265118143
Delhi,Diesel,Automatic,Second,16.73,5,13.9,BMW,5 Series 2003-2012 525d,1,3,3,0.10927318290261995,434.91,5.585976627712855
Pune,Petrol,Manual,First,20.36,5,2.25,Hyundai,i10 Sportz 1.2,1,1,0,0.06591478691235189,94.44330000000001,9.267182521620391
Bangalore,Petrol,Manual,First,18.9,5,5.75,Hyundai,Grand i10 Sportz,0,1,1,0.06850459476315406,98.154,8.602639963586709
Hyderabad,Petrol,Manual,First,17.0,5,2.1,Hyundai,Santro Xing XO,1,1,1,0.10430653188643048,123.01870659400547,8.149568552253115
Mumbai,Petrol,Manual,First,17.8,5,5.0,Honda,Amaze SX i-VTEC,0,1,1,0.07237061763575073,103.8666,8.098271155595997
Delhi,Diesel,Manual,First,13.0,7,16.5,Toyota,Fortuner 4x2 Manual,2,5,2,0.05650570085294913,502.467,3.2646911099949776
Coimbatore,Diesel,Automatic,First,17.68,5,39.58,Audi,A6 2011-2015 35 TDI Premium,0,3,3,0.0885823170281594,343.08144,5.9568733153638815
Delhi,Diesel,Manual,First,22.7,5,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional,1,2,1,0.059973297690271495,134.58032,9.08726981585268
Delhi,Diesel,Manual,First,15.1,7,8.1,Mahindra,XUV500 W8 2WD,1,3,2,0.06424965577592949,305.06,4.749921358917899
Kolkata,Diesel,Manual,First,25.8,5,3.5,Honda,Amaze SX i-DTEC,0,2,1,0.06582109474911808,147.7028,10.32826261008807
Kolkata,Diesel,Manual,First,22.07,5,2.79,Volkswagen,Polo Diesel Highline 1.2L,0,1,0,0.061634695528244625,88.60610000000001,10.03638017280582
Ahmedabad,Diesel,Manual,First,16.2,5,3.45,Hyundai,Verna Transform SX VGT CRDi,1,2,1,0.07367716003102667,164.23,6.4981949458483745
Bangalore,Petrol,Manual,First,18.9,5,4.45,Maruti,Wagon R VXI BS IV,1,0,0,0.06723446887050653,66.96579999999999,9.45945945945946
Delhi,Petrol,Manual,First,15.26,5,2.65,Volkswagen,Polo Petrol Highline 1.6L,1,2,1,0.0647684605351887,165.393,5.873749037721324
Pune,Diesel,Manual,Second,23.0,5,3.8,Hyundai,i20 1.4 CRDi Sportz,1,1,1,0.06446991399393272,125.64,9.599332220367279
Mumbai,Petrol,Manual,First,18.5,5,4.65,Hyundai,i20 Asta 1.2,0,1,1,0.06921470336740625,99.17145,8.420573509330906
Pune,Petrol,Manual,First,19.83,7,3.95,Datsun,GO Plus T Petrol,0,1,0,0.055926544193717405,80.266,9.021838034576888
Kolkata,Diesel,Automatic,First,14.94,5,9.8,Audi,A4 3.0 TDI Quattro Premium,0,5,4,0.08136164473159366,716.2338000000001,3.766070078144694
Pune,Petrol,Manual,Second,17.0,5,2.7,Hyundai,i20 2015-2017 Asta,1,1,0,0.06683375098844298,95.76,7.737824305871643
Coimbatore,Petrol,Manual,First,14.0,5,2.41,Maruti,Omni 5 Str STD,1,0,0,0.04396984919099265,27.86,7.795100222717149
Ahmedabad,Petrol,Manual,First,17.71,5,3.9,Toyota,Etios Liva 1.2 G,1,1,0,0.06591478691235189,94.44330000000001,8.060992262175695
Hyderabad,Diesel,Automatic,Second,14.74,5,24.0,Jaguar,XF 3.0 Litre S Premium Luxury,1,5,5,0.09051119275291974,810.8036999999999,3.6914600550964187
Delhi,Diesel,Manual,Second,16.0,7,5.75,Mahindra,XUV500 W8 2WD,1,3,2,0.06424965577592949,305.06,5.033029254482542
Kolkata,Diesel,Automatic,First,22.32,5,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT,0,2,1,0.07984829324914772,199.83823999999998,8.644461657629744
Mumbai,Diesel,Automatic,First,11.36,7,19.25,Toyota,Innova Crysta 2.8 ZX AT,0,5,2,0.062250453697912725,472.4825,3.025299600532623
Coimbatore,Petrol,Manual,First,15.1,5,3.91,Maruti,Eeco 5 Seater AC,0,1,0,0.06103678924662475,87.308,6.876138433515483
Bangalore,Petrol,Manual,First,25.4,4,2.15,Tata,Nano Twist XT,0,0,0,0.06009615374984591,23.4,15.640394088669948
Mumbai,Diesel,Automatic,First,22.69,5,20.75,BMW,3 Series 320d Luxury Line,1,3,3,0.09523809519035684,379.05,7.5759599332220375
Delhi,Petrol,Manual,First,13.5,5,3.35,Honda,Civic 2006-2010 1.8 V MT,1,2,2,0.07226236794204426,233.87,4.82315112540193
Ahmedabad,Diesel,Manual,First,12.99,7,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater,1,4,1,0.040336808323842496,250.8964,3.7178019461934744
Bangalore,Diesel,Automatic,First,23.3,5,20.0,Volvo,V40 Cross Country D3,0,3,2,0.07560483867157014,297.6,7.8083109919571045
Coimbatore,Petrol,Automatic,First,19.15,5,6.55,Nissan,Micra XV CVT,0,1,0,0.06338898158314775,90.97612,8.712465878070974
Mumbai,Petrol,Automatic,First,10.8,5,7.0,BMW,5 Series 2010-2013 525i,2,4,3,0.08610332395430384,536.855,3.08836145267372
Mumbai,Diesel,Manual,First,24.3,5,7.5,Maruti,Vitara Brezza VDi,1,1,1,0.07091346148163985,110.448,10.809608540925266
Mumbai,Petrol,Manual,Second,17.0,5,0.85,Hyundai,Santro Xing XL eRLX Euro III,2,1,1,0.10430653188643048,123.01870659400547,8.149568552253115
Pune,Diesel,Automatic,Second,15.0,5,16.75,Mercedes-Benz,B Class B200 CDI,1,3,1,0.05006999531027999,229.94389999999999,4.772510340439071
Kolkata,Diesel,Manual,First,22.0,5,10.95,Hyundai,Verna CRDi 1.6 SX Option,0,2,1,0.07977243989900604,199.64839999999998,8.520526723470178
Pune,Petrol,Manual,First,18.9,5,2.45,Maruti,Wagon R LXI BS IV,0,0,0,0.06723446887050653,66.96579999999999,9.45945945945946
Coimbatore,Petrol,Automatic,First,21.9,4,3.23,Tata,Nano XTA,0,0,0,0.060064102467845985,23.38752,13.485221674876845
Kolkata,Diesel,Manual,First,12.05,8,7.75,Mahindra,Scorpio VLX,0,3,1,0.05507113352222527,261.48,3.7905001572821644
Kolkata,Petrol,Automatic,First,11.7,5,9.35,Mercedes-Benz,New C-Class 200 K AT,0,2,3,0.09910913134793478,319.688,4.184549356223176
Pune,CNG,Manual,First,26.6,5,3.25,Maruti,Wagon R LXI CNG,1,0,0,0.058276553047819084,58.043679999999995,13.313313313313316
Bangalore,Petrol,Manual,Second,10.8,5,5.25,Honda,CR-V 2.4 MT,0,4,2,0.06457094304818567,357.808,3.2200357781753133
Pune,Diesel,Automatic,First,21.21,5,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT,1,2,1,0.06889185576175443,154.5936,8.490792634107285
Kochi,Petrol,Manual,First,20.73,5,7.47,Maruti,Ciaz VXi Plus,0,1,1,0.06635105603324758,125.0803,8.735777496839443
Jaipur,Diesel,Automatic,First,16.0,7,13.25,Mahindra,XUV500 AT W10 FWD,1,3,2,0.06424965577592949,305.06,5.033029254482542
Coimbatore,Petrol,Manual,First,21.1,5,5.81,Maruti,Ritz VXI ABS,0,1,1,0.07167919793510509,102.70259999999999,9.604005461993628
Hyderabad,Petrol,Manual,First,24.07,5,2.6,Maruti,Alto K10 VXI,1,0,0,0.06723446887050653,66.96579999999999,12.047047047047048
Kolkata,Petrol,Automatic,First,19.0,2,54.0,Mercedes-Benz,SLC 43 AMG,0,5,7,0.12085113480612446,1084.76172,4.754754754754755
Kochi,Petrol,Automatic,First,17.0,5,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus,0,2,1,0.07624135758878607,192.98829999999998,6.561173292165186
Chennai,Petrol,Manual,Second,19.7,5,1.6,Maruti,Alto LXi BSIII,1,0,0,0.05816582907265599,36.8548,10.96881959910913
Coimbatore,Diesel,Automatic,First,20.58,5,17.22,BMW,1 Series 118d Base,0,3,2,0.07167919795905804,285.285,6.871452420701168
Mumbai,Petrol,Automatic,First,19.0,5,6.0,Honda,Jazz 1.2 V CVT i VTEC,0,1,1,0.07397831520101891,106.35130000000001,8.640291041382447
Delhi,Petrol,Manual,First,13.5,5,3.95,Honda,Civic 2006-2010 1.8 V MT,1,2,2,0.07226236794204426,233.87,4.82315112540193
Kochi,Diesel,Automatic,First,19.27,5,17.95,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,0,3,2,0.07932804475999625,364.31,6.13108495068406
Kolkata,Diesel,Manual,First,25.8,5,3.7,Honda,Amaze SX i-DTEC,0,2,1,0.06582109474911808,147.7028,10.32826261008807
Kochi,Petrol,Manual,First,22.0,5,5.43,Maruti,Swift VVT VXI,0,1,1,0.06833751038568293,97.9146,10.013654984069186
Kochi,Petrol,Manual,Third,17.0,5,1.67,Hyundai,Santro Xing XO eRLX Euro II,1,1,1,0.10430653188643048,123.01870659400547,8.149568552253115
Coimbatore,Diesel,Manual,First,11.5,7,13.49,Toyota,Fortuner 3.0 Diesel,1,5,2,0.05734406436708784,509.922,2.887995981918634
Pune,Petrol,Manual,First,18.6,5,2.85,Chevrolet,Beat LT Option,0,1,0,0.06405337776142336,92.08319999999999,8.458390177353344
Chennai,Diesel,Manual,First,21.14,5,4.75,Skoda,Rapid 1.5 TDI Elegance,1,2,1,0.06910547391915521,155.07296,8.462770216172938
Kochi,Petrol,Manual,First,20.73,5,9.9,Maruti,Ciaz 1.4 Alpha,0,1,1,0.06635105603324758,125.0803,8.735777496839443
Mumbai,Petrol,Automatic,First,11.05,4,37.0,Audi,RS5 Coupe,0,5,8,0.15342087071409094,1284.936,2.837699024139702
Mumbai,Diesel,Automatic,First,21.76,5,26.5,BMW,3 Series Luxury Line,0,3,3,0.09523809519035684,379.05,7.265442404006678
Coimbatore,Diesel,Automatic,First,17.11,5,23.32,Audi,A4 2.0 TDI 177 Bhp Premium Plus,0,3,3,0.0885823170281594,343.08144,5.764824797843666
Chennai,Diesel,Manual,First,22.9,5,6.25,Maruti,Swift VDI,0,1,0,0.059294871747359874,92.352,10.186832740213521
Kolkata,Petrol,Automatic,First,7.81,5,30.0,Mercedes-Benz,S Class 2005 2013 S 500,0,11,7,0.0664530305683111,1981.7968999999998,1.2087912087912087
Coimbatore,Diesel,Automatic,First,21.66,5,9.86,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,1,2,1,0.06910547391915521,155.07296,8.670936749399518
Pune,Diesel,Automatic,First,17.2,5,8.5,Skoda,Superb Elegance 2.0 TDI CR AT,2,3,2,0.07017276419198537,271.7808,5.795148247978436
Kochi,Petrol,Manual,First,21.1,5,4.23,Hyundai,EON Magna Plus,0,0,0,0.06781326772995913,44.9328,11.631753031973538
Jaipur,Diesel,Manual,First,22.07,5,3.5,Volkswagen,Polo Diesel Trendline 1.2L,1,1,0,0.061634695528244625,88.60610000000001,10.03638017280582
Kolkata,Petrol,Manual,First,20.63,5,2.5,Datsun,GO NXT,0,1,0,0.05597662766612969,80.33788,9.385805277525023
Kolkata,Petrol,Manual,First,19.4,5,2.39,Honda,Brio S MT,0,1,1,0.0724540900897712,103.98639999999999,8.826205641492265
Delhi,Petrol,Automatic,First,14.8,5,11.25,Mercedes-Benz,B Class B180,0,2,1,0.07567398114377806,192.5165,5.703275529865126
Kochi,Diesel,Manual,First,26.0,5,7.11,Honda,City i DTEC V,0,2,1,0.06582109474911808,147.7028,10.408326661329061
Ahmedabad,Diesel,Manual,First,12.99,7,10.9,Toyota,Innova 2.5 G (Diesel) 7 Seater,1,4,1,0.040336808323842496,250.8964,3.7178019461934744
Ahmedabad,Petrol,Manual,First,20.4,5,6.2,Maruti,Swift VXI Optional,0,1,1,0.06833751038568293,97.9146,9.28538916704597
Mumbai,Diesel,Manual,First,15.1,7,7.9,Mahindra,XUV500 W8 2WD,0,3,2,0.06424965577592949,305.06,4.749921358917899
Kochi,Diesel,Manual,First,22.7,5,4.42,Ford,Ecosport 1.5 DV5 MT Ambiente,2,2,1,0.059973297690271495,134.58032,9.08726981585268
Mumbai,Diesel,Manual,First,13.0,7,13.5,Toyota,Fortuner 4x2 Manual,2,5,2,0.05650570085294913,502.467,3.2646911099949776
Chennai,Diesel,Automatic,First,21.5,5,6.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,1,2,1,0.072429906493705,162.533,8.606885508406725
Jaipur,Diesel,Manual,Second,20.0,5,2.1,Ford,Figo Diesel Titanium,1,1,0,0.04860614721329081,95.132,8.336807002917881
Mumbai,Diesel,Automatic,First,15.3,5,45.0,BMW,X5 xDrive 30d,0,5,4,0.08620113595516167,772.194,3.8317054845980465
Coimbatore,Diesel,Automatic,First,19.27,5,33.66,Mercedes-Benz,New C-Class C 220 CDI Style,0,3,2,0.0782174521333563,359.20966000000004,6.13108495068406
Bangalore,Petrol,Manual,Second,19.4,5,3.65,Honda,Brio V MT,0,1,1,0.0724540900897712,103.98639999999999,8.826205641492265
Delhi,Petrol,Manual,First,20.36,5,2.75,Hyundai,i10 Magna 1.2,1,1,0,0.06591478691235189,94.44330000000001,9.267182521620391
Bangalore,Diesel,Automatic,First,17.9,5,42.5,Mercedes-Benz,GLC 220,0,3,2,0.07932804475999625,364.31,5.695195672923958
Kolkata,Petrol,Manual,First,18.9,5,6.5,Hyundai,Grand i10 1.2 Kappa Asta,0,1,1,0.06838763569892427,97.98642,8.602639963586709
Mumbai,Diesel,Automatic,Second,17.68,5,19.0,Audi,A6 2011-2015 2.0 TDI Premium Plus,1,3,3,0.0885823170281594,343.08144,5.9568733153638815
Mumbai,Petrol,Automatic,Second,14.4,5,4.45,Volkswagen,Vento Petrol Highline AT,0,2,1,0.064831038757928,165.5528,5.542725173210162
Jaipur,Diesel,Automatic,Second,16.6,5,23.0,Mini,Countryman Cooper D,0,3,1,0.05605605602799997,223.776,5.537024683122082
Bangalore,Diesel,Manual,First,22.54,5,8.35,Hyundai,i20 Asta 1.4 CRDi,0,1,1,0.06356017187424057,123.86708,9.407345575959933
Mumbai,Diesel,Automatic,First,17.68,5,22.95,Audi,A6 2011-2015 2.0 TDI Premium Plus,0,3,3,0.0885823170281594,343.08144,5.9568733153638815
Jaipur,Diesel,Manual,First,25.44,5,1.5,Chevrolet,Beat Diesel LT,1,0,0,0.06153846147271532,53.913599999999995,13.140495867768598
Kochi,Petrol,Automatic,First,13.7,5,6.89,Skoda,Superb Elegance 1.8 TSI AT,1,2,2,0.08773637369981291,283.6345,4.896354538956397
Chennai,Diesel,Manual,Second,17.8,5,1.45,Ford,Fiesta 1.4 TDCi EXI Limited Edition,4,1,0,0.04860614721329081,95.132,7.419758232596915
Hyderabad,Diesel,Automatic,First,22.48,5,33.5,BMW,5 Series 520d Luxury Line,1,3,3,0.09523809519035684,379.05,7.505843071786311
Jaipur,Petrol,Manual,First,12.9,5,1.25,Chevrolet,Optra Magnum 1.6 LS BS3,2,2,1,0.06414267830779556,163.795,4.965357967667437
Hyderabad,Diesel,Manual,First,22.07,5,4.2,Volkswagen,Polo Diesel Highline 1.2L,1,1,0,0.061634695528244625,88.60610000000001,10.03638017280582
Mumbai,Diesel,Manual,First,19.98,8,6.75,Renault,Lodgy 110PS RxZ 8 Seater,0,2,1,0.07426420255012717,158.5185,8.118650954896383
Bangalore,Diesel,Automatic,First,13.0,5,32.0,Mercedes-Benz,E-Class E250 CDI Avantgrade,0,3,3,0.09384041059550144,430.9573,4.136175628380529
