Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Consumation,Engine,Power,Seats,Price,Brand,Model,car_age,km/age
Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,12,6541.666666666667
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5,18.55,BMW,3 Series 320d,12,2748.5
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25,Maruti,S Cross DDiS 200 Alpha,11,5035.636363636364
Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5,Audi,A6 2011-2015 35 TFSI Technology,11,5089.545454545455
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5,1.87,Hyundai,i20 1.2 Magna,16,2862.9375
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85,Volkswagen,Vento Petrol Highline AT,16,2062.5
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25,Honda,City Corporate Edition,14,3708.5714285714284
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25,Nissan,Micra Diesel XV,14,3857.1428571428573
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75,Maruti,Alto K10 2010-2014 VXI,13,4153.846153846154
Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9,Honda,WRV i-VTEC VX,8,4678.75
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7,4.0,Toyota,Innova 2.5 V Diesel 7-seater,19,13789.473684210527
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75,Renault,Duster 110PS Diesel RxZ Pack,13,4769.2307692307695
Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75,Toyota,Corolla Altis G,14,6258.214285714285
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7,12.5,Mahindra,Ssangyong Rexton RX7,13,5538.461538461538
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5,Audi,A6 2.7 TDI,16,2187.5
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98,Volkswagen,Vento 1.6 Highline,12,4619.25
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5,1.85,Maruti,Wagon R LXI BSIII,17,4930.35294117647
Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63,Maruti,Vitara Brezza ZDi Plus,8,6259.375
Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW,9,5777.777777777777
Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28.0,Mercedes-Benz,M-Class ML 350 CDI,13,6538.461538461538
Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5.0,Volkswagen,Polo Diesel Trendline 1.2L,13,4769.2307692307695
Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25,Maruti,Alto LXi,18,5000.0
Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53,Tata,Nano LX SE,12,1641.5
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,9,2448.1111111111113
Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74,Hyundai,i20 Magna Optional 1.2,12,2957.25
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85,Hyundai,Elantra 2.0 SX Option AT,12,3864.5
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11,Toyota,Corolla Altis G AT,10,5200.1
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25,Hyundai,Elantra CRDi,18,3222.5
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95,Toyota,Innova Crysta 2.7 GX MT,14,5050.285714285715
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5,3.85,Hyundai,Xcent 1.1 CRDi S,12,6250.0
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6,5.5,Mahindra,Thar CRDe AC,14,5414.285714285715
Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43,Audi,A4 2.0 TDI 177 Bhp Premium Plus,11,1240.7272727272727
Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5,4.25,Maruti,Swift LDI,12,4333.333333333333
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5,3.3,Maruti,Swift Ldi BSIV,12,4416.666666666667
Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5,3.85,Maruti,Swift VDI,13,5050.0
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5,3.6,Hyundai,Grand i10 Sportz,11,4909.090909090909
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline,11,3545.4545454545455
Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3,Renault,KWID RXT,9,1838.0
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07,Hyundai,i10 Asta,16,2000.0
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75,Nissan,X-Trail SLX AT,16,7613.25
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25,Maruti,Zen Estilo VXI BSIII,16,2456.25
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5,Toyota,Innova Crysta 2.4 GX MT 8S,9,2444.4444444444443
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5,2.75,Ford,Figo Diesel Titanium,16,4500.0
Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5,26.7,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,11,5272.727272727273
Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5,10.0,Mercedes-Benz,New C-Class 200 CDI Classic,15,4333.333333333333
Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5,2.5,Tata,Indica V2 eLS,10,17800.0
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5,13.5,Audi,A4 2.0 TDI Multitronic,14,4690.285714285715
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5,1.85,Honda,City ZX CVT,19,3315.7894736842104
Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950,194.0,5,35.67,Mercedes-Benz,C-Class Progressive C 220d,7,2195.5714285714284
Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15,Maruti,Ertiga SHVS VDI,10,6300.0
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5,Hyundai,Creta 1.4 E Plus Diesel,8,1625.0
Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5,14.5,Porsche,Cayenne 2009-2014 Turbo,18,4055.5555555555557
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7,9.65,Mahindra,XUV500 W8 4WD,11,5066.272727272727
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48,Hyundai,i10 Sportz 1.2 AT,14,3227.0
Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92,Nissan,Terrano XV D Pre,11,5096.909090909091
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46,Honda,Brio VX AT,10,3730.0
Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5,Audi,A6 2.0 TDI Design Edition,12,4666.666666666667
Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,113.27689373297004,5,2.0,Ford,Fiesta 1.4 SXi TDCi,18,6172.833333333333
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8,4.5,Toyota,Innova 2.0 G1,20,11500.0
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7,11.75,Toyota,Innova 2.5 VX 7 STR BSIV,14,7428.571428571428
Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086,113.27689373297004,5,1.3,Hyundai,Santro Xing XL,21,4171.0
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5,3.75,Maruti,Swift VDI,14,6792.857142857143
Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5,Tata,Zest Revotron 1.2T XE,9,7777.777777777777
Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5,4.82,Honda,Amaze SX i-VTEC,10,5494.4
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5,2.8,Ford,Figo Diesel ZXI,14,5024.071428571428
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11,Maruti,Ritz VDi,13,7664.461538461538
Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25,Honda,City i VTEC E,17,3058.823529411765
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5,13.9,BMW,5 Series 2003-2012 525d,15,5000.0
Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25,Hyundai,i10 Sportz 1.2,17,5645.882352941177
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5,5.75,Hyundai,Grand i10 Sportz,10,1600.0
Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086,113.27689373297004,5,2.1,Hyundai,Santro Xing XO,19,3881.315789473684
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5.0,Honda,Amaze SX i-VTEC,10,1894.9
Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7,16.5,Toyota,Fortuner 4x2 Manual,12,8916.666666666666
Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58,Audi,A6 2011-2015 35 TDI Premium,8,6045.875
Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional,13,4384.615384615385
Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7,8.1,Mahindra,XUV500 W8 2WD,12,4833.333333333333
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,Honda,Amaze SX i-DTEC,11,2727.2727272727275
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79,Volkswagen,Polo Diesel Highline 1.2L,13,2631.6923076923076
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5,3.45,Hyundai,Verna Transform SX VGT CRDi,16,4375.125
Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45,Maruti,Wagon R VXI BS IV,10,6200.0
Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65,Volkswagen,Polo Petrol Highline 1.6L,16,3875.0625
Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5,3.8,Hyundai,i20 1.4 CRDi Sportz,15,5263.866666666667
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65,Hyundai,i20 Asta 1.2,12,2515.0
Pune,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7,3.95,Datsun,GO Plus T Petrol,9,3650.1111111111113
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8,Audi,A4 3.0 TDI Quattro Premium,16,1875.0
Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5,2.7,Hyundai,i20 2015-2017 Asta,17,3882.3529411764707
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35.0,5,2.41,Maruti,Omni 5 Str STD,16,5865.625
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9,Toyota,Etios Liva 1.2 G,12,4416.666666666667
Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24.0,Jaguar,XF 3.0 Litre S Premium Luxury,15,5200.0
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7,5.75,Mahindra,XUV500 W8 2WD,14,4642.857142857143
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT,12,3333.3333333333335
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25,Toyota,Innova Crysta 2.8 ZX AT,9,3333.3333333333335
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5,3.91,Maruti,Eeco 5 Seater AC,9,4228.111111111111
Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15,Tata,Nano Twist XT,12,2125.0
Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5,20.75,BMW,3 Series 320d Luxury Line,11,5098.818181818182
Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5,3.35,Honda,Civic 2006-2010 1.8 V MT,16,4443.0
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater,12,4583.333333333333
Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5,20.0,Volvo,V40 Cross Country D3,12,2725.0
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55,Nissan,Micra XV CVT,10,3988.2
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5,7.0,BMW,5 Series 2010-2013 525i,17,7529.411764705882
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5,Maruti,Vitara Brezza VDi,10,5500.0
Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086,113.27689373297004,5,0.85,Hyundai,Santro Xing XL eRLX Euro III,21,4857.142857142857
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5,16.75,Mercedes-Benz,B Class B200 CDI,12,4479.416666666667
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5,10.95,Hyundai,Verna CRDi 1.6 SX Option,8,1281.25
Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45,Maruti,Wagon R LXI BS IV,15,2924.9333333333334
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23,Tata,Nano XTA,9,3631.5555555555557
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8,7.75,Mahindra,Scorpio VLX,12,3500.0
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5,9.35,Mercedes-Benz,New C-Class 200 K AT,17,1667.764705882353
Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,3.25,Maruti,Wagon R LXI CNG,13,6915.384615384615
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5,5.25,Honda,CR-V 2.4 MT,19,2510.5263157894738
Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT,11,5000.0
Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47,Maruti,Ciaz VXi Plus,9,4920.555555555556
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7,13.25,Mahindra,XUV500 AT W10 FWD,10,5400.0
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81,Maruti,Ritz VXI ABS,10,3023.2
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6,Maruti,Alto K10 VXI,12,7375.0
Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2,54.0,Mercedes-Benz,SLC 43 AMG,9,1485.7777777777778
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus,7,1806.4285714285713
Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6,Maruti,Alto LXi BSIII,16,5899.0625
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5,17.22,BMW,1 Series 118d Base,11,2892.818181818182
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5,6.0,Honda,Jazz 1.2 V CVT i VTEC,11,1090.909090909091
Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5,3.95,Honda,Civic 2006-2010 1.8 V MT,14,6327.0
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5,17.95,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,12,3747.0833333333335
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7,Honda,Amaze SX i-DTEC,12,3753.6666666666665
Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5,5.43,Maruti,Swift VVT VXI,10,3420.4
Kochi,2008,80759,Petrol,Manual,Third,17.0,1086,113.27689373297004,5,1.67,Hyundai,Santro Xing XO eRLX Euro II,18,4486.611111111111
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7,13.49,Toyota,Fortuner 3.0 Diesel,14,6516.785714285715
Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85,Chevrolet,Beat LT Option,12,3233.3333333333335
Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75,Skoda,Rapid 1.5 TDI Elegance,13,6384.615384615385
Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9,Maruti,Ciaz 1.4 Alpha,8,5160.375
Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4,37.0,Audi,RS5 Coupe,13,1769.2307692307693
Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5,26.5,BMW,3 Series Luxury Line,12,4000.0
Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32,Audi,A4 2.0 TDI 177 Bhp Premium Plus,11,4383.090909090909
Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5,6.25,Maruti,Swift VDI,10,3500.0
Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30.0,Mercedes-Benz,S Class 2005 2013 S 500,16,2204.8125
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,10,5462.0
Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5,Skoda,Superb Elegance 2.0 TDI CR AT,14,9785.5
Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23,Hyundai,EON Magna Plus,7,2046.0
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5,Volkswagen,Polo Diesel Trendline 1.2L,14,4688.142857142857
Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5,Datsun,GO NXT,10,600.0
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39,Honda,Brio S MT,13,2560.0
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25,Mercedes-Benz,B Class B180,13,2230.769230769231
Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5,7.11,Honda,City i DTEC V,11,3893.7272727272725
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9,Toyota,Innova 2.5 G (Diesel) 7 Seater,10,9000.0
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2,Maruti,Swift VXI Optional,9,2667.222222222222
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7,7.9,Mahindra,XUV500 W8 2WD,14,2342.285714285714
Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42,Ford,Ecosport 1.5 DV5 MT Ambiente,12,12324.833333333334
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7,13.5,Toyota,Fortuner 4x2 Manual,14,9411.785714285714
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,13,5000.0
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5,2.1,Ford,Figo Diesel Titanium,16,4132.6875
Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5,45.0,BMW,X5 xDrive 30d,11,3727.2727272727275
Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66,Mercedes-Benz,New C-Class C 220 CDI Style,9,2616.6666666666665
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65,Honda,Brio V MT,14,3214.285714285714
Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75,Hyundai,i10 Magna 1.2,13,4615.384615384615
Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5,42.5,Mercedes-Benz,GLC 220,10,4441.4
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5,Hyundai,Grand i10 1.2 Kappa Asta,7,142.85714285714286
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19.0,Audi,A6 2011-2015 2.0 TDI Premium Plus,14,4464.285714285715
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45,Volkswagen,Vento Petrol Highline AT,13,1615.3846153846155
Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5,23.0,Mini,Countryman Cooper D,9,947.2222222222222
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35,Hyundai,i20 Asta 1.4 CRDi,12,2416.6666666666665
Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95,Audi,A6 2011-2015 2.0 TDI Premium Plus,12,3333.3333333333335
Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5,Chevrolet,Beat Diesel LT,14,6285.714285714285
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89,Skoda,Superb Elegance 1.8 TSI AT,14,3824.0714285714284
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5,1.45,Ford,Fiesta 1.4 TDCi EXI Limited Edition,20,10800.0
Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5,33.5,BMW,5 Series 520d Luxury Line,12,4250.0
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25,Chevrolet,Optra Magnum 1.6 LS BS3,19,6236.8421052631575
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2,Volkswagen,Polo Diesel Highline 1.2L,14,4500.0
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75,Renault,Lodgy 110PS RxZ 8 Seater,11,2272.7272727272725
Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5,32.0,Mercedes-Benz,E-Class E250 CDI Avantgrade,12,3115.1666666666665
Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5,Maruti,Baleno Alpha,9,2752.5555555555557
Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6,Hyundai,Verna 1.6 SX,14,4428.571428571428
Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04,Hyundai,i10 Magna 1.1,9,5815.555555555556
Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7,10.31,Mahindra,Scorpio 1.99 S10 4WD,10,5673.9
Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76,Land,Rover Range Rover 2.2L Dynamic,8,4511.375
Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5,2.6,Ford,Figo Diesel ZXI,16,7500.0
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5,Maruti,Ertiga ZDI,10,3300.0
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,Honda,Amaze S i-Dtech,12,4333.333333333333
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55,Hyundai,i10 Magna,11,3961.0
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25,Honda,Amaze S i-Dtech,13,3846.153846153846
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106.0,5,4.5,Skoda,Laura Ambiente,18,6277.777777777777
Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35,Renault,Duster 85PS Diesel RxL,12,7500.0
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7,6.5,Mahindra,NuvoSport N6,9,3222.222222222222
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9.0,Maruti,Vitara Brezza ZDi Plus Dual Tone,10,2000.0
Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6.0,Hyundai,i20 Asta Option 1.2,10,6101.2
