Location,Fuel_Type,Transmission,Owner_Type,Consumation,Price,Brand,Model,car_age,Power_bins
Kolkata,Petrol,Automatic,First,14.4,2.85,Volkswagen,Vento Petrol Highline AT,16,1
Mumbai,Petrol,Manual,First,16.8,4.25,Honda,City Corporate Edition,14,1
Hyderabad,Diesel,Manual,First,23.08,4.25,Nissan,Micra Diesel XV,14,0
Hyderabad,Petrol,Manual,Second,20.92,2.75,Maruti,Alto K10 2010-2014 VXI,13,0
Kochi,Petrol,Manual,First,17.5,9.9,Honda,WRV i-VTEC VX,8,1
Mumbai,Diesel,Manual,Fourth & Above,12.8,4.0,Toyota,Innova 2.5 V Diesel 7-seater,19,1
Bangalore,Diesel,Manual,First,19.01,7.75,Renault,Duster 110PS Diesel RxZ Pack,13,1
Delhi,Petrol,Manual,First,14.53,6.75,Toyota,Corolla Altis G,14,2
Bangalore,Diesel,Automatic,Second,11.18,12.5,Mahindra,Ssangyong Rexton RX7,13,3
Kolkata,Diesel,Automatic,First,12.4,11.5,Audi,A6 2.7 TDI,16,3
Coimbatore,Petrol,Manual,Second,16.09,6.98,Volkswagen,Vento 1.6 Highline,12,1
Jaipur,Petrol,Manual,Second,14.0,1.85,Maruti,Wagon R LXI BSIII,17,0
Kochi,Diesel,Manual,First,24.3,8.63,Maruti,Vitara Brezza ZDi Plus,8,1
Delhi,Petrol,Manual,First,18.15,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW,9,1
Pune,Diesel,Automatic,First,11.74,28.0,Mercedes-Benz,M-Class ML 350 CDI,13,4
Chennai,Diesel,Manual,First,22.07,5.0,Volkswagen,Polo Diesel Trendline 1.2L,13,0
Delhi,Petrol,Manual,Second,19.7,1.25,Maruti,Alto LXi,18,0
Kochi,Petrol,Manual,First,25.4,1.53,Tata,Nano LX SE,12,0
Coimbatore,Diesel,Manual,First,25.32,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,9,0
Kochi,Petrol,Manual,First,18.5,4.74,Hyundai,i20 Magna Optional 1.2,12,1
Bangalore,Petrol,Automatic,First,14.62,8.85,Hyundai,Elantra 2.0 SX Option AT,12,2
Mumbai,Petrol,Automatic,First,14.28,10.11,Toyota,Corolla Altis G AT,10,2
Ahmedabad,Diesel,Manual,Second,14.9,4.25,Hyundai,Elantra CRDi,18,1
Bangalore,Petrol,Manual,First,11.25,10.95,Toyota,Innova Crysta 2.7 GX MT,14,2
Jaipur,Diesel,Manual,First,24.4,3.85,Hyundai,Xcent 1.1 CRDi S,12,0
Jaipur,Diesel,Manual,Second,16.55,5.5,Mahindra,Thar CRDe AC,14,1
Kochi,Diesel,Automatic,First,17.11,21.43,Audi,A4 2.0 TDI 177 Bhp Premium Plus,11,3
Delhi,Diesel,Manual,First,22.9,4.25,Maruti,Swift LDI,12,0
Kolkata,Diesel,Manual,First,17.8,3.3,Maruti,Swift Ldi BSIV,12,0
Delhi,Diesel,Manual,First,28.4,3.85,Maruti,Swift VDI,13,0
Chennai,Petrol,Manual,Third,18.9,3.6,Hyundai,Grand i10 Sportz,11,1
Kolkata,Petrol,Manual,First,15.04,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline,11,1
Kochi,Petrol,Manual,First,25.17,3.3,Renault,KWID RXT,9,0
Kolkata,Petrol,Manual,First,20.36,2.07,Hyundai,i10 Asta,16,0
Hyderabad,Diesel,Automatic,First,13.29,7.75,Nissan,X-Trail SLX AT,16,2
Hyderabad,Petrol,Manual,First,18.2,2.25,Maruti,Zen Estilo VXI BSIII,16,0
Mumbai,Diesel,Manual,First,13.68,16.5,Toyota,Innova Crysta 2.4 GX MT 8S,9,2
Bangalore,Diesel,Manual,First,20.0,2.75,Ford,Figo Diesel Titanium,16,0
Delhi,Petrol,Automatic,First,11.74,26.7,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,11,3
Pune,Diesel,Manual,Second,15.8,10.0,Mercedes-Benz,New C-Class 200 CDI Classic,15,2
Chennai,Diesel,Manual,First,25.0,2.5,Tata,Indica V2 eLS,10,0
Jaipur,Diesel,Automatic,First,16.55,13.5,Audi,A4 2.0 TDI Multitronic,14,2
Mumbai,Petrol,Automatic,Second,16.4,1.85,Honda,City ZX CVT,19,0
Pune,Diesel,Manual,First,24.52,8.15,Maruti,Ertiga SHVS VDI,10,1
Mumbai,Diesel,Manual,First,22.1,10.5,Hyundai,Creta 1.4 E Plus Diesel,8,1
Mumbai,Petrol,Automatic,First,8.5,14.5,Porsche,Cayenne 2009-2014 Turbo,18,9
Mumbai,Diesel,Manual,First,15.1,9.65,Mahindra,XUV500 W8 4WD,11,2
Kochi,Petrol,Automatic,First,16.95,3.48,Hyundai,i10 Sportz 1.2 AT,14,0
Kochi,Diesel,Manual,First,19.64,6.92,Nissan,Terrano XV D Pre,11,1
Coimbatore,Petrol,Automatic,Second,16.5,6.46,Honda,Brio VX AT,10,1
Delhi,Diesel,Automatic,Second,18.53,29.5,Audi,A6 2.0 TDI Design Edition,12,3
Jaipur,Diesel,Manual,First,17.8,2.0,Ford,Fiesta 1.4 SXi TDCi,18,1
Chennai,Petrol,Manual,Third,12.4,4.5,Toyota,Innova 2.0 G1,20,2
Hyderabad,Diesel,Manual,First,12.8,11.75,Toyota,Innova 2.5 VX 7 STR BSIV,14,1
Jaipur,Diesel,Manual,First,22.9,3.75,Maruti,Swift VDI,14,0
Pune,Petrol,Manual,First,17.57,4.5,Tata,Zest Revotron 1.2T XE,9,1
Kochi,Petrol,Manual,First,18.0,4.82,Honda,Amaze SX i-VTEC,10,1
Hyderabad,Diesel,Manual,First,20.0,2.8,Ford,Figo Diesel ZXI,14,0
Jaipur,Diesel,Manual,First,23.2,3.11,Maruti,Ritz VDi,13,0
Delhi,Petrol,Manual,First,17.8,3.25,Honda,City i VTEC E,17,1
Delhi,Diesel,Automatic,Second,16.73,13.9,BMW,5 Series 2003-2012 525d,15,3
Pune,Petrol,Manual,First,20.36,2.25,Hyundai,i10 Sportz 1.2,17,0
Bangalore,Petrol,Manual,First,18.9,5.75,Hyundai,Grand i10 Sportz,10,1
Hyderabad,Petrol,Manual,First,17.0,2.1,Hyundai,Santro Xing XO,19,1
Mumbai,Petrol,Manual,First,17.8,5.0,Honda,Amaze SX i-VTEC,10,1
Delhi,Diesel,Manual,First,13.0,16.5,Toyota,Fortuner 4x2 Manual,12,2
Coimbatore,Diesel,Automatic,First,17.68,39.58,Audi,A6 2011-2015 35 TDI Premium,8,3
Delhi,Diesel,Manual,First,22.7,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional,13,1
Delhi,Diesel,Manual,First,15.1,8.1,Mahindra,XUV500 W8 2WD,12,2
Kolkata,Diesel,Manual,First,25.8,3.5,Honda,Amaze SX i-DTEC,11,1
Kolkata,Diesel,Manual,First,22.07,2.79,Volkswagen,Polo Diesel Highline 1.2L,13,0
Ahmedabad,Diesel,Manual,First,16.2,3.45,Hyundai,Verna Transform SX VGT CRDi,16,1
Bangalore,Petrol,Manual,First,18.9,4.45,Maruti,Wagon R VXI BS IV,10,0
Delhi,Petrol,Manual,First,15.26,2.65,Volkswagen,Polo Petrol Highline 1.6L,16,1
Pune,Diesel,Manual,Second,23.0,3.8,Hyundai,i20 1.4 CRDi Sportz,15,1
Mumbai,Petrol,Manual,First,18.5,4.65,Hyundai,i20 Asta 1.2,12,1
Kolkata,Diesel,Automatic,First,14.94,9.8,Audi,A4 3.0 TDI Quattro Premium,16,4
Pune,Petrol,Manual,Second,17.0,2.7,Hyundai,i20 2015-2017 Asta,17,0
Coimbatore,Petrol,Manual,First,14.0,2.41,Maruti,Omni 5 Str STD,16,0
Ahmedabad,Petrol,Manual,First,17.71,3.9,Toyota,Etios Liva 1.2 G,12,0
Hyderabad,Diesel,Automatic,Second,14.74,24.0,Jaguar,XF 3.0 Litre S Premium Luxury,15,5
Delhi,Diesel,Manual,Second,16.0,5.75,Mahindra,XUV500 W8 2WD,14,2
Kolkata,Diesel,Automatic,First,22.32,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT,12,1
Mumbai,Diesel,Automatic,First,11.36,19.25,Toyota,Innova Crysta 2.8 ZX AT,9,2
Coimbatore,Petrol,Manual,First,15.1,3.91,Maruti,Eeco 5 Seater AC,9,0
Bangalore,Petrol,Manual,First,25.4,2.15,Tata,Nano Twist XT,12,0
Mumbai,Diesel,Automatic,First,22.69,20.75,BMW,3 Series 320d Luxury Line,11,3
Delhi,Petrol,Manual,First,13.5,3.35,Honda,Civic 2006-2010 1.8 V MT,16,2
Ahmedabad,Diesel,Manual,First,12.99,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater,12,1
Bangalore,Diesel,Automatic,First,23.3,20.0,Volvo,V40 Cross Country D3,12,2
Coimbatore,Petrol,Automatic,First,19.15,6.55,Nissan,Micra XV CVT,10,0
Mumbai,Petrol,Automatic,First,10.8,7.0,BMW,5 Series 2010-2013 525i,17,3
Mumbai,Diesel,Manual,First,24.3,7.5,Maruti,Vitara Brezza VDi,10,1
Mumbai,Petrol,Manual,Second,17.0,0.85,Hyundai,Santro Xing XL eRLX Euro III,21,1
Pune,Diesel,Automatic,Second,15.0,16.75,Mercedes-Benz,B Class B200 CDI,12,1
Kolkata,Diesel,Manual,First,22.0,10.95,Hyundai,Verna CRDi 1.6 SX Option,8,1
Pune,Petrol,Manual,First,18.9,2.45,Maruti,Wagon R LXI BS IV,15,0
Coimbatore,Petrol,Automatic,First,21.9,3.23,Tata,Nano XTA,9,0
Kolkata,Diesel,Manual,First,12.05,7.75,Mahindra,Scorpio VLX,12,1
Kolkata,Petrol,Automatic,First,11.7,9.35,Mercedes-Benz,New C-Class 200 K AT,17,3
Bangalore,Petrol,Manual,Second,10.8,5.25,Honda,CR-V 2.4 MT,19,2
Pune,Diesel,Automatic,First,21.21,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT,11,1
Kochi,Petrol,Manual,First,20.73,7.47,Maruti,Ciaz VXi Plus,9,1
Jaipur,Diesel,Automatic,First,16.0,13.25,Mahindra,XUV500 AT W10 FWD,10,2
Coimbatore,Petrol,Manual,First,21.1,5.81,Maruti,Ritz VXI ABS,10,1
Hyderabad,Petrol,Manual,First,24.07,2.6,Maruti,Alto K10 VXI,12,0
Kolkata,Petrol,Automatic,First,19.0,54.0,Mercedes-Benz,SLC 43 AMG,9,7
Kochi,Petrol,Automatic,First,17.0,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus,7,1
Chennai,Petrol,Manual,Second,19.7,1.6,Maruti,Alto LXi BSIII,16,0
Coimbatore,Diesel,Automatic,First,20.58,17.22,BMW,1 Series 118d Base,11,2
Mumbai,Petrol,Automatic,First,19.0,6.0,Honda,Jazz 1.2 V CVT i VTEC,11,1
Delhi,Petrol,Manual,First,13.5,3.95,Honda,Civic 2006-2010 1.8 V MT,14,2
Kochi,Diesel,Automatic,First,19.27,17.95,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,12,2
Kolkata,Diesel,Manual,First,25.8,3.7,Honda,Amaze SX i-DTEC,12,1
Kochi,Petrol,Manual,First,22.0,5.43,Maruti,Swift VVT VXI,10,1
Kochi,Petrol,Manual,Third,17.0,1.67,Hyundai,Santro Xing XO eRLX Euro II,18,1
Coimbatore,Diesel,Manual,First,11.5,13.49,Toyota,Fortuner 3.0 Diesel,14,2
Pune,Petrol,Manual,First,18.6,2.85,Chevrolet,Beat LT Option,12,0
Chennai,Diesel,Manual,First,21.14,4.75,Skoda,Rapid 1.5 TDI Elegance,13,1
Kochi,Petrol,Manual,First,20.73,9.9,Maruti,Ciaz 1.4 Alpha,8,1
Mumbai,Petrol,Automatic,First,11.05,37.0,Audi,RS5 Coupe,13,8
Mumbai,Diesel,Automatic,First,21.76,26.5,BMW,3 Series Luxury Line,12,3
Coimbatore,Diesel,Automatic,First,17.11,23.32,Audi,A4 2.0 TDI 177 Bhp Premium Plus,11,3
Chennai,Diesel,Manual,First,22.9,6.25,Maruti,Swift VDI,10,0
Kolkata,Petrol,Automatic,First,7.81,30.0,Mercedes-Benz,S Class 2005 2013 S 500,16,7
Coimbatore,Diesel,Automatic,First,21.66,9.86,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,10,1
Pune,Diesel,Automatic,First,17.2,8.5,Skoda,Superb Elegance 2.0 TDI CR AT,14,2
Kochi,Petrol,Manual,First,21.1,4.23,Hyundai,EON Magna Plus,7,0
Jaipur,Diesel,Manual,First,22.07,3.5,Volkswagen,Polo Diesel Trendline 1.2L,14,0
Kolkata,Petrol,Manual,First,19.4,2.39,Honda,Brio S MT,13,1
Delhi,Petrol,Automatic,First,14.8,11.25,Mercedes-Benz,B Class B180,13,1
Kochi,Diesel,Manual,First,26.0,7.11,Honda,City i DTEC V,11,1
Ahmedabad,Diesel,Manual,First,12.99,10.9,Toyota,Innova 2.5 G (Diesel) 7 Seater,10,1
Ahmedabad,Petrol,Manual,First,20.4,6.2,Maruti,Swift VXI Optional,9,1
Mumbai,Diesel,Manual,First,15.1,7.9,Mahindra,XUV500 W8 2WD,14,2
Kochi,Diesel,Manual,First,22.7,4.42,Ford,Ecosport 1.5 DV5 MT Ambiente,12,1
Mumbai,Diesel,Manual,First,13.0,13.5,Toyota,Fortuner 4x2 Manual,14,2
Chennai,Diesel,Automatic,First,21.5,6.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,13,1
Jaipur,Diesel,Manual,Second,20.0,2.1,Ford,Figo Diesel Titanium,16,0
Mumbai,Diesel,Automatic,First,15.3,45.0,BMW,X5 xDrive 30d,11,4
Coimbatore,Diesel,Automatic,First,19.27,33.66,Mercedes-Benz,New C-Class C 220 CDI Style,9,2
Bangalore,Petrol,Manual,Second,19.4,3.65,Honda,Brio V MT,14,1
Delhi,Petrol,Manual,First,20.36,2.75,Hyundai,i10 Magna 1.2,13,0
Bangalore,Diesel,Automatic,First,17.9,42.5,Mercedes-Benz,GLC 220,10,2
Kolkata,Petrol,Manual,First,18.9,6.5,Hyundai,Grand i10 1.2 Kappa Asta,7,1
Mumbai,Diesel,Automatic,Second,17.68,19.0,Audi,A6 2011-2015 2.0 TDI Premium Plus,14,3
Mumbai,Petrol,Automatic,Second,14.4,4.45,Volkswagen,Vento Petrol Highline AT,13,1
Jaipur,Diesel,Automatic,Second,16.6,23.0,Mini,Countryman Cooper D,9,1
Bangalore,Diesel,Manual,First,22.54,8.35,Hyundai,i20 Asta 1.4 CRDi,12,1
Mumbai,Diesel,Automatic,First,17.68,22.95,Audi,A6 2011-2015 2.0 TDI Premium Plus,12,3
Jaipur,Diesel,Manual,First,25.44,1.5,Chevrolet,Beat Diesel LT,14,0
Kochi,Petrol,Automatic,First,13.7,6.89,Skoda,Superb Elegance 1.8 TSI AT,14,2
Chennai,Diesel,Manual,Second,17.8,1.45,Ford,Fiesta 1.4 TDCi EXI Limited Edition,20,0
Hyderabad,Diesel,Automatic,First,22.48,33.5,BMW,5 Series 520d Luxury Line,12,3
Jaipur,Petrol,Manual,First,12.9,1.25,Chevrolet,Optra Magnum 1.6 LS BS3,19,1
Hyderabad,Diesel,Manual,First,22.07,4.2,Volkswagen,Polo Diesel Highline 1.2L,14,0
Mumbai,Diesel,Manual,First,19.98,6.75,Renault,Lodgy 110PS RxZ 8 Seater,11,1
Bangalore,Diesel,Automatic,First,13.0,32.0,Mercedes-Benz,E-Class E250 CDI Avantgrade,12,3
Kochi,Petrol,Manual,First,21.4,7.5,Maruti,Baleno Alpha,9,1
Delhi,Diesel,Manual,First,22.32,4.6,Hyundai,Verna 1.6 SX,14,1
Kochi,Petrol,Manual,First,19.81,4.04,Hyundai,i10 Magna 1.1,9,0
Kochi,Diesel,Manual,First,15.4,10.31,Mahindra,Scorpio 1.99 S10 4WD,10,1
Coimbatore,Diesel,Automatic,First,12.7,55.76,Land,Rover Range Rover 2.2L Dynamic,8,3
Chennai,Diesel,Manual,First,20.0,2.6,Ford,Figo Diesel ZXI,16,0
Mumbai,Diesel,Manual,First,25.47,8.5,Maruti,Ertiga ZDI,10,1
Kolkata,Diesel,Manual,First,25.8,3.5,Honda,Amaze S i-Dtech,12,1
Jaipur,Petrol,Manual,First,20.36,3.55,Hyundai,i10 Magna,11,0
Kolkata,Diesel,Manual,First,25.8,3.25,Honda,Amaze S i-Dtech,13,1
Hyderabad,Diesel,Manual,First,17.5,4.5,Skoda,Laura Ambiente,18,1
Delhi,Diesel,Manual,First,19.87,5.35,Renault,Duster 85PS Diesel RxL,12,1
Chennai,Diesel,Manual,Second,17.45,6.5,Mahindra,NuvoSport N6,9,1
Mumbai,Diesel,Manual,First,24.3,9.0,Maruti,Vitara Brezza ZDi Plus Dual Tone,10,1
Kochi,Petrol,Manual,First,18.6,6.0,Hyundai,i20 Asta Option 1.2,10,1
Jaipur,Petrol,Manual,First,14.7,2.75,Skoda,Fabia 1.4 MPI Ambiente,17,1
Pune,Petrol,Manual,First,15.64,1.5,Tata,Indigo eCS GLX,16,0
Delhi,Diesel,Automatic,First,15.73,19.9,Audi,Q3 2012-2015 35 TDI Quattro Premium Plus,11,3
Mumbai,Petrol,Automatic,First,14.7,10.0,Skoda,Octavia Elegance 1.8 TSI AT,12,3
Delhi,Diesel,Manual,First,23.59,3.0,Toyota,Etios Liva GD SP,12,0
Kochi,Petrol,Automatic,First,14.8,11.96,Mercedes-Benz,B Class B180,12,1
Kolkata,Diesel,Manual,First,27.4,3.25,Honda,Amaze S Diesel,13,1
Jaipur,Diesel,Manual,Second,22.32,4.75,Hyundai,Verna 1.6 SX,14,1
Mumbai,Diesel,Manual,First,20.46,5.95,Renault,Duster 85PS Diesel RxL Optional,12,1
Delhi,Petrol,Manual,Second,15.29,8.15,Hyundai,Creta 1.6 VTVT S,11,1
Mumbai,Petrol,Automatic,First,20.51,4.22,Maruti,Wagon R AMT VXI,10,0
Kolkata,Petrol,Automatic,First,11.74,10.5,Mercedes-Benz,New C-Class C250 Avantgarde,16,3
Delhi,Diesel,Automatic,First,11.8,45.0,Audi,A8 L 3.0 TDI quattro,14,4
Pune,Petrol,Manual,Second,19.81,2.9,Hyundai,i10 Magna 1.1,14,0
Mumbai,Petrol,Automatic,First,14.3,8.9,Skoda,Rapid 1.6 MPI AT Style Black Package,9,1
Hyderabad,Petrol,Automatic,First,14.67,26.0,Skoda,Superb Style 1.8 TSI AT,9,3
Coimbatore,Petrol,Manual,First,17.19,8.22,Hyundai,i20 Active 1.2 SX,8,1
Kolkata,Diesel,Manual,Second,25.8,3.5,Honda,Amaze VX i-DTEC,12,1
Chennai,Petrol,Manual,Second,18.9,1.25,Maruti,Wagon R LXI,22,0
Hyderabad,Diesel,Manual,First,21.03,3.7,Mahindra,Verito 1.5 D4 BSIV,13,0
Coimbatore,Diesel,Automatic,First,19.27,39.41,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,8,2
Kolkata,Petrol,Manual,First,22.5,2.65,Maruti,Wagon R VXI,13,0
Coimbatore,Diesel,Manual,Second,19.01,8.92,Nissan,Terrano XV Premium 110 PS Anniversary Edition,11,1
Delhi,Diesel,Manual,First,17.8,4.1,Maruti,Swift VDI BSIV,13,1
Kochi,Petrol,Automatic,First,16.82,35.67,Mini,Cooper Convertible S,9,3
Jaipur,Diesel,Manual,Second,17.2,0.85,Tata,Indica V2 DLS BSII,19,0
Kochi,Petrol,Manual,Second,18.6,3.32,Chevrolet,Beat LT,10,0
Mumbai,Diesel,Manual,First,22.07,3.6,Volkswagen,Polo Diesel Comfortline 1.2L,14,0
Hyderabad,Diesel,Manual,First,22.9,6.8,Maruti,Swift ZDi,10,0
Kolkata,Diesel,Manual,First,20.0,2.5,Ford,Figo Diesel EXI,14,0
Kochi,Diesel,Automatic,First,11.36,19.64,Toyota,Innova Crysta 2.8 GX AT,7,2
Mumbai,Diesel,Automatic,Second,11.72,7.0,Hyundai,Santa Fe 4x4 AT,15,3
Kolkata,Petrol,Manual,First,17.4,3.87,Honda,City i-VTEC V,15,1
Kochi,Petrol,Manual,First,18.6,6.27,Hyundai,i20 1.2 Magna Executive,8,1
Kochi,Diesel,Automatic,First,19.27,18.12,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,11,2
Mumbai,Diesel,Manual,First,25.44,2.65,Chevrolet,Beat Diesel LT,13,0
Kochi,Diesel,Manual,First,22.54,7.2,Hyundai,i20 Sportz 1.4 CRDi,11,1
Coimbatore,Diesel,Manual,First,12.99,14.3,Toyota,Innova 2.5 Z Diesel 7 Seater,11,1
Chennai,Diesel,Manual,First,20.77,6.9,Maruti,Ertiga VDI,13,1
Mumbai,Diesel,Manual,First,12.8,10.75,Toyota,Innova 2.5 V Diesel 7-seater,12,1
Mumbai,Petrol,Manual,Third,17.0,0.95,Hyundai,Santro Xing XO eRLX Euro II,19,1
Kochi,Petrol,Manual,First,17.8,8.09,Honda,City i VTEC V,10,1
Ahmedabad,Diesel,Automatic,First,17.05,18.5,BMW,X1 sDrive20d,12,3
Mumbai,Diesel,Manual,First,24.0,4.75,Hyundai,Grand i10 CRDi Era,9,0
Chennai,Diesel,Manual,First,28.09,8.45,Maruti,Ciaz 1.3 Alpha,10,1
Kolkata,Diesel,Manual,First,20.5,3.5,Skoda,Rapid Leisure 1.6 TDI MT,14,1
Kochi,Diesel,Manual,First,13.1,1.8,Hyundai,Accent CRDi,20,1
Jaipur,Diesel,Manual,Second,19.91,3.7,Volkswagen,Polo GT 1.5 TDI,12,1
Coimbatore,Petrol,Manual,First,18.7,7.17,Honda,Jazz 1.2 VX i VTEC,9,1
Jaipur,Petrol,Manual,First,19.81,1.75,Hyundai,i10 Era,16,0
Kochi,Diesel,Automatic,First,16.38,21.99,Hyundai,Tucson 2.0 e-VGT 2WD AT GLS,8,3
Pune,Diesel,Manual,First,13.68,18.65,Toyota,Innova Crysta 2.4 ZX MT,9,2
Jaipur,Petrol,Manual,Third,19.7,1.85,Maruti,Omni MPI CARGO BSIII W/ IMMOBILISER,15,0
Coimbatore,Petrol,Manual,Second,20.4,5.95,Maruti,Swift VXI BSIV,9,1
Mumbai,Petrol,Manual,First,18.9,3.75,Hyundai,Grand i10 Magna,12,1
Pune,Diesel,Manual,First,22.9,3.75,Maruti,Swift VDI,14,0
Hyderabad,Diesel,Manual,First,22.0,2.6,Hyundai,Verna CRDi 1.6 SX,18,1
Mumbai,Petrol,Manual,First,17.0,2.8,Hyundai,i20 1.2 Sportz,16,0
Coimbatore,Diesel,Automatic,First,11.57,61.29,Mercedes-Benz,GLE 350d,9,4
Bangalore,Diesel,Manual,Second,15.8,18.0,Mercedes-Benz,New C-Class C 220 CDI CLASSIC,12,2
Hyderabad,Diesel,Manual,First,23.2,4.35,Maruti,Ritz ZDi,12,0
Bangalore,Diesel,Manual,First,19.67,13.75,Hyundai,Creta 1.6 CRDi SX,10,1
Pune,Petrol,Manual,First,19.0,2.0,Maruti,A-Star Vxi,16,0
Delhi,Diesel,Manual,First,19.64,10.0,Renault,Duster 110PS Diesel RXZ Option,10,1
Delhi,Diesel,Manual,First,17.8,1.65,Fiat,Grande Punto 1.3 Emotion Pack (Diesel),16,0
Coimbatore,Diesel,Automatic,First,16.55,45.77,BMW,X3 xDrive30d M Sport,9,4
Bangalore,Petrol,Manual,Second,20.36,3.25,Hyundai,i10 Sportz,16,0
Pune,Diesel,Manual,First,12.8,12.8,Toyota,Innova 2.5 G4 Diesel 7-seater,10,1
Mumbai,Petrol,Manual,Third,17.3,0.55,Maruti,Zen VXI BSII,24,0
Hyderabad,Diesel,Manual,First,28.4,7.15,Maruti,Swift VDI,8,0
Pune,Diesel,Manual,Second,12.05,7.0,Mahindra,Scorpio VLX 2.2 mHawk Airbag BSIV,13,1
Pune,Diesel,Manual,First,22.95,3.75,Tata,Zest Quadrajet 1.3 75PS XE,9,0
Mumbai,Petrol,Manual,First,18.88,8.5,Ford,EcoSport 1.0 Ecoboost Titanium Plus,9,1
Jaipur,Diesel,Manual,First,23.4,4.35,Maruti,Swift Dzire ZDI,14,0
Kochi,Petrol,Manual,First,22.74,3.26,Maruti,Alto 800 LXI,10,0
Jaipur,Petrol,Manual,First,17.0,4.21,Honda,City 1.5 S MT,15,1
Kochi,Diesel,Automatic,First,12.07,70.36,Audi,Q7 3.0 TDI Quattro Technology,8,4
Mumbai,Diesel,Automatic,Second,17.0,2.95,Skoda,Laura 1.9 TDI AT Ambiente,17,1
Kochi,Petrol,Manual,First,17.1,4.28,Hyundai,Verna 1.6 SX VTVT (O),14,1
Jaipur,Petrol,Automatic,First,16.8,3.57,Honda,City 1.5 V AT,17,1
Kolkata,Diesel,Manual,First,21.9,3.11,Hyundai,i20 Magna Optional 1.4 CRDi,13,1
Coimbatore,Petrol,Automatic,First,15.0,5.96,Hyundai,i20 Sportz AT 1.4,12,1
Hyderabad,Diesel,Manual,First,20.54,4.7,Volkswagen,Vento Diesel Highline,15,1
Ahmedabad,Petrol,Manual,First,17.4,6.9,Honda,City i VTEC VX,12,1
Pune,Diesel,Manual,First,22.95,5.25,Tata,Zest Quadrajet 1.3 75PS XE,8,0
Pune,Diesel,Automatic,First,18.48,28.0,BMW,5 Series 2003-2012 520d,11,3
Delhi,Petrol,Manual,First,18.9,1.35,Maruti,Wagon R LXI Minor,17,0
Delhi,Petrol,Manual,First,18.2,4.85,Honda,Jazz VX,11,1
Coimbatore,Diesel,Manual,First,15.0,6.7,Volkswagen,Jetta 2007-2011 2.0 TDI Comfortline,14,1
Hyderabad,Petrol,Manual,First,20.36,3.1,Hyundai,i10 Magna 1.2,16,0
Kochi,Diesel,Automatic,First,19.27,18.64,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,11,2
