Location,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Model,Brand,Power_bins
Coimbatore,2017,Diesel,Manual,First,25.32,1198.0,77.0,5.58,KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,0
Kochi,2014,Petrol,Manual,First,18.5,1197.0,82.9,4.74,i20 Magna Optional 1.2,Hyundai,1
Bangalore,2014,Petrol,Automatic,First,14.62,1999.0,149.92,8.85,Elantra 2.0 SX Option AT,Hyundai,2
Mumbai,2016,Petrol,Automatic,First,14.28,1798.0,138.03,10.11,Corolla Altis G AT,Toyota,2
Ahmedabad,2008,Diesel,Manual,Second,14.9,1991.0,112.2,4.25,Elantra CRDi,Hyundai,1
Bangalore,2012,Petrol,Manual,First,11.25,2694.0,163.7,10.95,Innova Crysta 2.7 GX MT,Toyota,2
Jaipur,2014,Diesel,Manual,First,24.4,1120.0,71.0,3.85,Xcent 1.1 CRDi S,Hyundai,0
Jaipur,2012,Diesel,Manual,Second,16.55,2498.0,105.0,5.5,Thar CRDe AC,Mahindra,1
Kochi,2015,Diesel,Automatic,First,17.11,1968.0,174.33,21.43,A4 2.0 TDI 177 Bhp Premium Plus,Audi,3
Delhi,2014,Diesel,Manual,First,22.9,1248.0,74.0,4.25,Swift LDI,Maruti,0
Kolkata,2014,Diesel,Manual,First,17.8,1248.0,75.0,3.3,Swift Ldi BSIV,Maruti,0
Delhi,2013,Diesel,Manual,First,28.4,1248.0,74.0,3.85,Swift VDI,Maruti,0
Chennai,2015,Petrol,Manual,Third,18.9,1197.0,82.0,3.6,Grand i10 Sportz,Hyundai,1
Kolkata,2015,Petrol,Manual,First,15.04,1598.0,103.2,3.99,Vento 2013-2015 1.6 Comfortline,Volkswagen,1
Kochi,2017,Petrol,Manual,First,25.17,799.0,53.3,3.3,KWID RXT,Renault,0
Kolkata,2010,Petrol,Manual,First,20.36,1197.0,78.9,2.07,i10 Asta,Hyundai,0
Hyderabad,2010,Diesel,Automatic,First,13.29,1995.0,147.6,7.75,X-Trail SLX AT,Nissan,2
Hyderabad,2010,Petrol,Manual,First,18.2,998.0,67.1,2.25,Zen Estilo VXI BSIII,Maruti,0
Mumbai,2017,Diesel,Manual,First,13.68,2393.0,147.8,16.5,Innova Crysta 2.4 GX MT 8S,Toyota,2
Bangalore,2010,Diesel,Manual,First,20.0,1399.0,68.0,2.75,Figo Diesel Titanium,Ford,0
Delhi,2015,Petrol,Automatic,First,11.74,1796.0,186.0,26.7,New C-Class C 200 CGI Avantgarde,Mercedes-Benz,3
Pune,2011,Diesel,Manual,Second,15.8,2148.0,170.0,10.0,New C-Class 200 CDI Classic,Mercedes-Benz,2
Chennai,2016,Diesel,Manual,First,25.0,1396.0,69.0,2.5,Indica V2 eLS,Tata,0
Jaipur,2012,Diesel,Automatic,First,16.55,1968.0,140.0,13.5,A4 2.0 TDI Multitronic,Audi,2
Mumbai,2007,Petrol,Automatic,Second,16.4,1497.0,78.0,1.85,City ZX CVT,Honda,0
Pune,2016,Diesel,Manual,First,24.52,1248.0,88.5,8.15,Ertiga SHVS VDI,Maruti,1
Mumbai,2018,Diesel,Manual,First,22.1,1396.0,88.7,10.5,Creta 1.4 E Plus Diesel,Hyundai,1
Mumbai,2008,Petrol,Automatic,First,8.5,4806.0,500.0,14.5,Cayenne 2009-2014 Turbo,Porsche,9
Mumbai,2015,Diesel,Manual,First,15.1,2179.0,140.0,9.65,XUV500 W8 4WD,Mahindra,2
Kochi,2012,Petrol,Automatic,First,16.95,1197.0,78.9,3.48,i10 Sportz 1.2 AT,Hyundai,0
Kochi,2015,Diesel,Manual,First,19.64,1461.0,108.5,6.92,Terrano XV D Pre,Nissan,1
Coimbatore,2016,Petrol,Automatic,Second,16.5,1198.0,86.8,6.46,Brio VX AT,Honda,1
Delhi,2014,Diesel,Automatic,Second,18.53,1968.0,187.74,29.5,A6 2.0 TDI Design Edition,Audi,3
Jaipur,2008,Diesel,Manual,First,17.8,1399.0,113.25304969366915,2.0,Fiesta 1.4 SXi TDCi,Ford,1
Chennai,2006,Petrol,Manual,Third,12.4,1998.0,132.0,4.5,Innova 2.0 G1,Toyota,2
Hyderabad,2012,Diesel,Manual,First,12.8,2494.0,102.0,11.75,Innova 2.5 VX 7 STR BSIV,Toyota,1
Jaipur,2012,Diesel,Manual,First,22.9,1248.0,74.0,3.75,Swift VDI,Maruti,0
Pune,2017,Petrol,Manual,First,17.57,1193.0,88.7,4.5,Zest Revotron 1.2T XE,Tata,1
Kochi,2016,Petrol,Manual,First,18.0,1198.0,86.7,4.82,Amaze SX i-VTEC,Honda,1
Hyderabad,2012,Diesel,Manual,First,20.0,1399.0,68.0,2.8,Figo Diesel ZXI,Ford,0
Jaipur,2013,Diesel,Manual,First,23.2,1248.0,73.94,3.11,Ritz VDi,Maruti,0
Delhi,2009,Petrol,Manual,First,17.8,1497.0,117.3,3.25,City i VTEC E,Honda,1
Delhi,2011,Diesel,Automatic,Second,16.73,1995.0,218.0,13.9,5 Series 2003-2012 525d,BMW,3
Pune,2009,Petrol,Manual,First,20.36,1197.0,78.9,2.25,i10 Sportz 1.2,Hyundai,0
Bangalore,2016,Petrol,Manual,First,18.9,1197.0,82.0,5.75,Grand i10 Sportz,Hyundai,1
Hyderabad,2007,Petrol,Manual,First,17.0,1086.0,113.25304969366915,2.1,Santro Xing XO,Hyundai,1
Mumbai,2016,Petrol,Manual,First,17.8,1198.0,86.7,5.0,Amaze SX i-VTEC,Honda,1
Delhi,2014,Diesel,Manual,First,13.0,2982.0,168.5,16.5,Fortuner 4x2 Manual,Toyota,2
Coimbatore,2018,Diesel,Automatic,First,17.68,1968.0,174.33,39.58,A6 2011-2015 35 TDI Premium,Audi,3
Delhi,2013,Diesel,Manual,First,22.7,1498.0,89.84,5.5,Ecosport 1.5 DV5 MT Titanium Optional,Ford,1
Delhi,2014,Diesel,Manual,First,15.1,2179.0,140.0,8.1,XUV500 W8 2WD,Mahindra,2
Kolkata,2015,Diesel,Manual,First,25.8,1498.0,98.6,3.5,Amaze SX i-DTEC,Honda,1
Kolkata,2013,Diesel,Manual,First,22.07,1199.0,73.9,2.79,Polo Diesel Highline 1.2L,Volkswagen,0
Ahmedabad,2010,Diesel,Manual,First,16.2,1493.0,110.0,3.45,Verna Transform SX VGT CRDi,Hyundai,1
Bangalore,2016,Petrol,Manual,First,18.9,998.0,67.1,4.45,Wagon R VXI BS IV,Maruti,0
Delhi,2010,Petrol,Manual,First,15.26,1598.0,103.5,2.65,Polo Petrol Highline 1.6L,Volkswagen,1
Pune,2011,Diesel,Manual,Second,23.0,1396.0,90.0,3.8,i20 1.4 CRDi Sportz,Hyundai,1
Mumbai,2014,Petrol,Manual,First,18.5,1197.0,82.85,4.65,i20 Asta 1.2,Hyundai,1
Kolkata,2010,Diesel,Automatic,First,14.94,2967.0,241.4,9.8,A4 3.0 TDI Quattro Premium,Audi,4
Pune,2009,Petrol,Manual,Second,17.0,1197.0,80.0,2.7,i20 2015-2017 Asta,Hyundai,0
Coimbatore,2010,Petrol,Manual,First,14.0,796.0,35.0,2.41,Omni 5 Str STD,Maruti,0
Ahmedabad,2014,Petrol,Manual,First,17.71,1197.0,78.9,3.9,Etios Liva 1.2 G,Toyota,0
Hyderabad,2011,Diesel,Automatic,Second,14.74,2993.0,270.9,24.0,XF 3.0 Litre S Premium Luxury,Jaguar,5
Delhi,2012,Diesel,Manual,Second,16.0,2179.0,140.0,5.75,XUV500 W8 2WD,Mahindra,2
Kolkata,2014,Diesel,Automatic,First,22.32,1582.0,126.32,5.25,Verna 1.6 SX CRDI (O) AT,Hyundai,1
Mumbai,2017,Diesel,Automatic,First,11.36,2755.0,171.5,19.25,Innova Crysta 2.8 ZX AT,Toyota,2
Coimbatore,2017,Petrol,Manual,First,15.1,1196.0,73.0,3.91,Eeco 5 Seater AC,Maruti,0
Bangalore,2014,Petrol,Manual,First,25.4,624.0,37.5,2.15,Nano Twist XT,Tata,0
Mumbai,2015,Diesel,Automatic,First,22.69,1995.0,190.0,20.75,3 Series 320d Luxury Line,BMW,3
Delhi,2010,Petrol,Manual,First,13.5,1799.0,130.0,3.35,Civic 2006-2010 1.8 V MT,Honda,2
Ahmedabad,2014,Diesel,Manual,First,12.99,2494.0,100.6,11.11,Innova 2.5 VX (Diesel) 7 Seater,Toyota,1
Bangalore,2014,Diesel,Automatic,First,23.3,1984.0,150.0,20.0,V40 Cross Country D3,Volvo,2
Coimbatore,2016,Petrol,Automatic,First,19.15,1198.0,75.94,6.55,Micra XV CVT,Nissan,0
Mumbai,2009,Petrol,Automatic,First,10.8,2497.0,215.0,7.0,5 Series 2010-2013 525i,BMW,3
Mumbai,2016,Diesel,Manual,First,24.3,1248.0,88.5,7.5,Vitara Brezza VDi,Maruti,1
Mumbai,2005,Petrol,Manual,Second,17.0,1086.0,113.25304969366915,0.85,Santro Xing XL eRLX Euro III,Hyundai,1
Pune,2014,Diesel,Automatic,Second,15.0,2143.0,107.3,16.75,B Class B200 CDI,Mercedes-Benz,1
Kolkata,2018,Diesel,Manual,First,22.0,1582.0,126.2,10.95,Verna CRDi 1.6 SX Option,Hyundai,1
Pune,2011,Petrol,Manual,First,18.9,998.0,67.1,2.45,Wagon R LXI BS IV,Maruti,0
Coimbatore,2017,Petrol,Automatic,First,21.9,624.0,37.48,3.23,Nano XTA,Tata,0
Kolkata,2014,Diesel,Manual,First,12.05,2179.0,120.0,7.75,Scorpio VLX,Mahindra,1
Kolkata,2009,Petrol,Automatic,First,11.7,1796.0,178.0,9.35,New C-Class 200 K AT,Mercedes-Benz,3
Bangalore,2007,Petrol,Manual,Second,10.8,2354.0,152.0,5.25,CR-V 2.4 MT,Honda,2
Pune,2015,Diesel,Automatic,First,21.21,1498.0,103.2,7.25,Vento 1.5 TDI Comfortline AT,Volkswagen,1
Kochi,2017,Petrol,Manual,First,20.73,1373.0,91.1,7.47,Ciaz VXi Plus,Maruti,1
Jaipur,2016,Diesel,Automatic,First,16.0,2179.0,140.0,13.25,XUV500 AT W10 FWD,Mahindra,2
Coimbatore,2016,Petrol,Manual,First,21.1,1197.0,85.8,5.81,Ritz VXI ABS,Maruti,1
Hyderabad,2014,Petrol,Manual,First,24.07,998.0,67.1,2.6,Alto K10 VXI,Maruti,0
Kolkata,2017,Petrol,Automatic,First,19.0,2996.0,362.07,54.0,SLC 43 AMG,Mercedes-Benz,7
Kochi,2019,Petrol,Automatic,First,17.0,1591.0,121.3,11.5,Verna VTVT 1.6 AT SX Plus,Hyundai,1
Chennai,2010,Petrol,Manual,Second,19.7,796.0,46.3,1.6,Alto LXi BSIII,Maruti,0
Coimbatore,2015,Diesel,Automatic,First,20.58,1995.0,143.0,17.22,1 Series 118d Base,BMW,2
Mumbai,2015,Petrol,Automatic,First,19.0,1199.0,88.7,6.0,Jazz 1.2 V CVT i VTEC,Honda,1
Delhi,2012,Petrol,Manual,First,13.5,1799.0,130.0,3.95,Civic 2006-2010 1.8 V MT,Honda,2
Kochi,2014,Diesel,Automatic,First,19.27,2143.0,170.0,17.95,New C-Class C 220 CDI Avantgarde,Mercedes-Benz,2
Kolkata,2014,Diesel,Manual,First,25.8,1498.0,98.6,3.7,Amaze SX i-DTEC,Honda,1
Kochi,2016,Petrol,Manual,First,22.0,1197.0,81.8,5.43,Swift VVT VXI,Maruti,1
Kochi,2008,Petrol,Manual,Third,17.0,1086.0,113.25304969366915,1.67,Santro Xing XO eRLX Euro II,Hyundai,1
Coimbatore,2012,Diesel,Manual,First,11.5,2982.0,171.0,13.49,Fortuner 3.0 Diesel,Toyota,2
Pune,2014,Petrol,Manual,First,18.6,1199.0,76.8,2.85,Beat LT Option,Chevrolet,0
Chennai,2013,Diesel,Manual,First,21.14,1498.0,103.52,4.75,Rapid 1.5 TDI Elegance,Skoda,1
Kochi,2018,Petrol,Manual,First,20.73,1373.0,91.1,9.9,Ciaz 1.4 Alpha,Maruti,1
Mumbai,2013,Petrol,Automatic,First,11.05,2894.0,444.0,37.0,RS5 Coupe,Audi,8
Mumbai,2014,Diesel,Automatic,First,21.76,1995.0,190.0,26.5,3 Series Luxury Line,BMW,3
Coimbatore,2015,Diesel,Automatic,First,17.11,1968.0,174.33,23.32,A4 2.0 TDI 177 Bhp Premium Plus,Audi,3
Chennai,2016,Diesel,Manual,First,22.9,1248.0,74.0,6.25,Swift VDI,Maruti,0
Kolkata,2010,Petrol,Automatic,First,7.81,5461.0,362.9,30.0,S Class 2005 2013 S 500,Mercedes-Benz,7
Coimbatore,2016,Diesel,Automatic,First,21.66,1498.0,103.52,9.86,Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,1
Pune,2012,Diesel,Automatic,First,17.2,1968.0,138.1,8.5,Superb Elegance 2.0 TDI CR AT,Skoda,2
Kochi,2019,Petrol,Manual,First,21.1,814.0,55.2,4.23,EON Magna Plus,Hyundai,0
Jaipur,2012,Diesel,Manual,First,22.07,1199.0,73.9,3.5,Polo Diesel Trendline 1.2L,Volkswagen,0
Kolkata,2013,Petrol,Manual,First,19.4,1198.0,86.8,2.39,Brio S MT,Honda,1
Delhi,2013,Petrol,Automatic,First,14.8,1595.0,120.7,11.25,B Class B180,Mercedes-Benz,1
Kochi,2015,Diesel,Manual,First,26.0,1498.0,98.6,7.11,City i DTEC V,Honda,1
Ahmedabad,2016,Diesel,Manual,First,12.99,2494.0,100.6,10.9,Innova 2.5 G (Diesel) 7 Seater,Toyota,1
Ahmedabad,2017,Petrol,Manual,First,20.4,1197.0,81.8,6.2,Swift VXI Optional,Maruti,1
Mumbai,2012,Diesel,Manual,First,15.1,2179.0,140.0,7.9,XUV500 W8 2WD,Mahindra,2
Kochi,2014,Diesel,Manual,First,22.7,1498.0,89.84,4.42,Ecosport 1.5 DV5 MT Ambiente,Ford,1
Mumbai,2012,Diesel,Manual,First,13.0,2982.0,168.5,13.5,Fortuner 4x2 Manual,Toyota,2
Chennai,2013,Diesel,Automatic,First,21.5,1498.0,108.5,6.25,Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,1
Jaipur,2010,Diesel,Manual,Second,20.0,1399.0,68.0,2.1,Figo Diesel Titanium,Ford,0
Mumbai,2015,Diesel,Automatic,First,15.3,2993.0,258.0,45.0,X5 xDrive 30d,BMW,4
Coimbatore,2017,Diesel,Automatic,First,19.27,2143.0,167.62,33.66,New C-Class C 220 CDI Style,Mercedes-Benz,2
Bangalore,2012,Petrol,Manual,Second,19.4,1198.0,86.8,3.65,Brio V MT,Honda,1
Delhi,2013,Petrol,Manual,First,20.36,1197.0,78.9,2.75,i10 Magna 1.2,Hyundai,0
Bangalore,2016,Diesel,Automatic,First,17.9,2143.0,170.0,42.5,GLC 220,Mercedes-Benz,2
Kolkata,2019,Petrol,Manual,First,18.9,1197.0,81.86,6.5,Grand i10 1.2 Kappa Asta,Hyundai,1
Mumbai,2012,Diesel,Automatic,Second,17.68,1968.0,174.33,19.0,A6 2011-2015 2.0 TDI Premium Plus,Audi,3
Mumbai,2013,Petrol,Automatic,Second,14.4,1598.0,103.6,4.45,Vento Petrol Highline AT,Volkswagen,1
Jaipur,2017,Diesel,Automatic,Second,16.6,1998.0,112.0,23.0,Countryman Cooper D,Mini,1
Bangalore,2014,Diesel,Manual,First,22.54,1396.0,88.73,8.35,i20 Asta 1.4 CRDi,Hyundai,1
Mumbai,2014,Diesel,Automatic,First,17.68,1968.0,174.33,22.95,A6 2011-2015 2.0 TDI Premium Plus,Audi,3
Jaipur,2012,Diesel,Manual,First,25.44,936.0,57.6,1.5,Beat Diesel LT,Chevrolet,0
Kochi,2012,Petrol,Automatic,First,13.7,1798.0,157.75,6.89,Superb Elegance 1.8 TSI AT,Skoda,2
Chennai,2006,Diesel,Manual,Second,17.8,1399.0,68.0,1.45,Fiesta 1.4 TDCi EXI Limited Edition,Ford,0
Hyderabad,2014,Diesel,Automatic,First,22.48,1995.0,190.0,33.5,5 Series 520d Luxury Line,BMW,3
Jaipur,2007,Petrol,Manual,First,12.9,1598.0,102.5,1.25,Optra Magnum 1.6 LS BS3,Chevrolet,1
Hyderabad,2012,Diesel,Manual,First,22.07,1199.0,73.9,4.2,Polo Diesel Highline 1.2L,Volkswagen,0
Mumbai,2015,Diesel,Manual,First,19.98,1461.0,108.5,6.75,Lodgy 110PS RxZ 8 Seater,Renault,1
Bangalore,2014,Diesel,Automatic,First,13.0,2143.0,201.1,32.0,E-Class E250 CDI Avantgrade,Mercedes-Benz,3
Kochi,2017,Petrol,Manual,First,21.4,1197.0,83.1,7.5,Baleno Alpha,Maruti,1
Delhi,2012,Diesel,Manual,First,22.32,1582.0,126.32,4.6,Verna 1.6 SX,Hyundai,1
Kochi,2017,Petrol,Manual,First,19.81,1086.0,68.05,4.04,i10 Magna 1.1,Hyundai,0
Kochi,2016,Diesel,Manual,First,15.4,1997.0,120.0,10.31,Scorpio 1.99 S10 4WD,Mahindra,1
Coimbatore,2018,Diesel,Automatic,First,12.7,2179.0,187.7,55.76,Rover Range Rover 2.2L Dynamic,Land,3
Chennai,2010,Diesel,Manual,First,20.0,1399.0,68.0,2.6,Figo Diesel ZXI,Ford,0
Mumbai,2016,Diesel,Manual,First,25.47,1248.0,88.5,8.5,Ertiga ZDI,Maruti,1
Kolkata,2014,Diesel,Manual,First,25.8,1498.0,98.6,3.5,Amaze S i-Dtech,Honda,1
Jaipur,2015,Petrol,Manual,First,20.36,1197.0,78.9,3.55,i10 Magna,Hyundai,0
Kolkata,2013,Diesel,Manual,First,25.8,1498.0,98.6,3.25,Amaze S i-Dtech,Honda,1
Hyderabad,2008,Diesel,Manual,First,17.5,1896.0,106.0,4.5,Laura Ambiente,Skoda,1
Delhi,2014,Diesel,Manual,First,19.87,1461.0,83.8,5.35,Duster 85PS Diesel RxL,Renault,1
Chennai,2017,Diesel,Manual,Second,17.45,1493.0,100.0,6.5,NuvoSport N6,Mahindra,1
Mumbai,2016,Diesel,Manual,First,24.3,1248.0,88.5,9.0,Vitara Brezza ZDi Plus Dual Tone,Maruti,1
Kochi,2016,Petrol,Manual,First,18.6,1197.0,81.83,6.0,i20 Asta Option 1.2,Hyundai,1
Jaipur,2009,Petrol,Manual,First,14.7,1390.0,85.0,2.75,Fabia 1.4 MPI Ambiente,Skoda,1
Pune,2010,Petrol,Manual,First,15.64,1193.0,64.1,1.5,Indigo eCS GLX,Tata,0
Delhi,2015,Diesel,Automatic,First,15.73,1968.0,174.33,19.9,Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,3
Mumbai,2014,Petrol,Automatic,First,14.7,1798.0,177.5,10.0,Octavia Elegance 1.8 TSI AT,Skoda,3
Delhi,2014,Diesel,Manual,First,23.59,1364.0,67.06,3.0,Etios Liva GD SP,Toyota,0
Kolkata,2010,Petrol,Manual,First,16.1,1621.276449941501,113.25304969366915,2.11,Swift 1.3 VXi,Maruti,1
Kochi,2014,Petrol,Automatic,First,14.8,1595.0,120.7,11.96,B Class B180,Mercedes-Benz,1
Kolkata,2013,Diesel,Manual,First,27.4,1498.0,98.6,3.25,Amaze S Diesel,Honda,1
Jaipur,2012,Diesel,Manual,Second,22.32,1582.0,126.32,4.75,Verna 1.6 SX,Hyundai,1
Mumbai,2014,Diesel,Manual,First,20.46,1461.0,83.8,5.95,Duster 85PS Diesel RxL Optional,Renault,1
Delhi,2015,Petrol,Manual,Second,15.29,1591.0,121.3,8.15,Creta 1.6 VTVT S,Hyundai,1
Mumbai,2016,Petrol,Automatic,First,20.51,998.0,67.0,4.22,Wagon R AMT VXI,Maruti,0
Kolkata,2010,Petrol,Automatic,First,11.74,1796.0,186.0,10.5,New C-Class C250 Avantgarde,Mercedes-Benz,3
Delhi,2012,Diesel,Automatic,First,11.8,2967.0,246.7,45.0,A8 L 3.0 TDI quattro,Audi,4
Pune,2012,Petrol,Manual,Second,19.81,1086.0,68.05,2.9,i10 Magna 1.1,Hyundai,0
Mumbai,2017,Petrol,Automatic,First,14.3,1598.0,103.52,8.9,Rapid 1.6 MPI AT Style Black Package,Skoda,1
Hyderabad,2017,Petrol,Automatic,First,14.67,1798.0,177.46,26.0,Superb Style 1.8 TSI AT,Skoda,3
Coimbatore,2018,Petrol,Manual,First,17.19,1197.0,81.86,8.22,i20 Active 1.2 SX,Hyundai,1
Kolkata,2014,Diesel,Manual,Second,25.8,1498.0,98.6,3.5,Amaze VX i-DTEC,Honda,1
Chennai,2004,Petrol,Manual,Second,18.9,998.0,67.1,1.25,Wagon R LXI,Maruti,0
Hyderabad,2013,Diesel,Manual,First,21.03,1461.0,65.0,3.7,Verito 1.5 D4 BSIV,Mahindra,0
Coimbatore,2018,Diesel,Automatic,First,19.27,2143.0,167.62,39.41,New C-Class C 220d Avantgarde Edition C,Mercedes-Benz,2
Kolkata,2013,Petrol,Manual,First,22.5,998.0,67.04,2.65,Wagon R VXI,Maruti,0
Coimbatore,2015,Diesel,Manual,Second,19.01,1461.0,108.5,8.92,Terrano XV Premium 110 PS Anniversary Edition,Nissan,1
Delhi,2013,Diesel,Manual,First,17.8,1248.0,113.25304969366915,4.1,Swift VDI BSIV,Maruti,1
Kochi,2017,Petrol,Automatic,First,16.82,1998.0,189.08,35.67,Cooper Convertible S,Mini,3
Jaipur,2007,Diesel,Manual,Second,17.2,1396.0,53.5,0.85,Indica V2 DLS BSII,Tata,0
Kochi,2016,Petrol,Manual,Second,18.6,1199.0,76.8,3.32,Beat LT,Chevrolet,0
Mumbai,2012,Diesel,Manual,First,22.07,1199.0,73.9,3.6,Polo Diesel Comfortline 1.2L,Volkswagen,0
Hyderabad,2016,Diesel,Manual,First,22.9,1248.0,74.0,6.8,Swift ZDi,Maruti,0
Kolkata,2012,Diesel,Manual,First,20.0,1399.0,68.05,2.5,Figo Diesel EXI,Ford,0
Kochi,2019,Diesel,Automatic,First,11.36,2755.0,171.5,19.64,Innova Crysta 2.8 GX AT,Toyota,2
Mumbai,2011,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,Santa Fe 4x4 AT,Hyundai,3
Kolkata,2011,Petrol,Manual,First,17.4,1497.0,117.3,3.87,City i-VTEC V,Honda,1
Kochi,2018,Petrol,Manual,First,18.6,1197.0,81.83,6.27,i20 1.2 Magna Executive,Hyundai,1
Kochi,2015,Diesel,Automatic,First,19.27,2143.0,167.62,18.12,New C-Class C 220d Avantgarde Edition C,Mercedes-Benz,2
Mumbai,2013,Diesel,Manual,First,25.44,936.0,57.6,2.65,Beat Diesel LT,Chevrolet,0
Kochi,2015,Diesel,Manual,First,22.54,1396.0,88.73,7.2,i20 Sportz 1.4 CRDi,Hyundai,1
Coimbatore,2015,Diesel,Manual,First,12.99,2494.0,100.6,14.3,Innova 2.5 Z Diesel 7 Seater,Toyota,1
Chennai,2013,Diesel,Manual,First,20.77,1248.0,88.76,6.9,Ertiga VDI,Maruti,1
Mumbai,2014,Diesel,Manual,First,12.8,2494.0,102.0,10.75,Innova 2.5 V Diesel 7-seater,Toyota,1
Mumbai,2007,Petrol,Manual,Third,17.0,1086.0,113.25304969366915,0.95,Santro Xing XO eRLX Euro II,Hyundai,1
Kochi,2016,Petrol,Manual,First,17.8,1497.0,117.3,8.09,City i VTEC V,Honda,1
