Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,Model,Brand
Delhi,2008,90000,Petrol,Manual,Second,19.7,796,5,1.25,Alto LXi,Maruti
Kochi,2014,19698,Petrol,Manual,First,25.4,624,4,1.53,Nano LX SE,Tata
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,6,5.58,KUV 100 mFALCON D75 K8 Dual Tone,Mahindra
Kochi,2014,35487,Petrol,Manual,First,18.5,1197,5,4.74,i20 Magna Optional 1.2,Hyundai
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,5,8.85,Elantra 2.0 SX Option AT,Hyundai
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,5,10.11,Corolla Altis G AT,Toyota
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,5,4.25,Elantra CRDi,Hyundai
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,7,10.95,Innova Crysta 2.7 GX MT,Toyota
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,5,3.85,Xcent 1.1 CRDi S,Hyundai
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,6,5.5,Thar CRDe AC,Mahindra
Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,5,21.43,A4 2.0 TDI 177 Bhp Premium Plus,Audi
Delhi,2014,52000,Diesel,Manual,First,22.9,1248,5,4.25,Swift LDI,Maruti
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,5,3.3,Swift Ldi BSIV,Maruti
Delhi,2013,65650,Diesel,Manual,First,28.4,1248,5,3.85,Swift VDI,Maruti
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,5,3.6,Grand i10 Sportz,Hyundai
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,5,3.99,Vento 2013-2015 1.6 Comfortline,Volkswagen
Kochi,2017,16542,Petrol,Manual,First,25.17,799,5,3.3,KWID RXT,Renault
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,5,2.07,i10 Asta,Hyundai
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,5,7.75,X-Trail SLX AT,Nissan
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,5,2.25,Zen Estilo VXI BSIII,Maruti
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,8,16.5,Innova Crysta 2.4 GX MT 8S,Toyota
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,5,2.75,Figo Diesel Titanium,Ford
Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,5,26.7,New C-Class C 200 CGI Avantgarde,Mercedes-Benz
Pune,2011,65000,Diesel,Manual,Second,15.8,2148,5,10.0,New C-Class 200 CDI Classic,Mercedes-Benz
Chennai,2016,178000,Diesel,Manual,First,25.0,1396,5,2.5,Indica V2 eLS,Tata
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,5,13.5,A4 2.0 TDI Multitronic,Audi
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,5,1.85,City ZX CVT,Honda
Pune,2016,63000,Diesel,Manual,First,24.52,1248,7,8.15,Ertiga SHVS VDI,Maruti
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,5,10.5,Creta 1.4 E Plus Diesel,Hyundai
Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,5,14.5,Cayenne 2009-2014 Turbo,Porsche
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,7,9.65,XUV500 W8 4WD,Mahindra
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,5,3.48,i10 Sportz 1.2 AT,Hyundai
Kochi,2015,56066,Diesel,Manual,First,19.64,1461,5,6.92,Terrano XV D Pre,Nissan
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,5,6.46,Brio VX AT,Honda
Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,5,29.5,A6 2.0 TDI Design Edition,Audi
Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,5,2.0,Fiesta 1.4 SXi TDCi,Ford
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,8,4.5,Innova 2.0 G1,Toyota
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,7,11.75,Innova 2.5 VX 7 STR BSIV,Toyota
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,5,3.75,Swift VDI,Maruti
Pune,2017,70000,Petrol,Manual,First,17.57,1193,5,4.5,Zest Revotron 1.2T XE,Tata
Kochi,2016,54944,Petrol,Manual,First,18.0,1198,5,4.82,Amaze SX i-VTEC,Honda
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,5,2.8,Figo Diesel ZXI,Ford
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,5,3.11,Ritz VDi,Maruti
Delhi,2009,52000,Petrol,Manual,First,17.8,1497,5,3.25,City i VTEC E,Honda
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,5,13.9,5 Series 2003-2012 525d,BMW
Pune,2009,95980,Petrol,Manual,First,20.36,1197,5,2.25,i10 Sportz 1.2,Hyundai
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,5,5.75,Grand i10 Sportz,Hyundai
Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086,5,2.1,Santro Xing XO,Hyundai
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,5,5.0,Amaze SX i-VTEC,Honda
Delhi,2014,107000,Diesel,Manual,First,13.0,2982,7,16.5,Fortuner 4x2 Manual,Toyota
Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,5,39.58,A6 2011-2015 35 TDI Premium,Audi
Delhi,2013,57000,Diesel,Manual,First,22.7,1498,5,5.5,Ecosport 1.5 DV5 MT Titanium Optional,Ford
Delhi,2014,58000,Diesel,Manual,First,15.1,2179,7,8.1,XUV500 W8 2WD,Mahindra
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,5,3.5,Amaze SX i-DTEC,Honda
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,5,2.79,Polo Diesel Highline 1.2L,Volkswagen
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,5,3.45,Verna Transform SX VGT CRDi,Hyundai
Bangalore,2016,62000,Petrol,Manual,First,18.9,998,5,4.45,Wagon R VXI BS IV,Maruti
Delhi,2010,62001,Petrol,Manual,First,15.26,1598,5,2.65,Polo Petrol Highline 1.6L,Volkswagen
Pune,2011,78958,Diesel,Manual,Second,23.0,1396,5,3.8,i20 1.4 CRDi Sportz,Hyundai
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,5,4.65,i20 Asta 1.2,Hyundai
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,5,9.8,A4 3.0 TDI Quattro Premium,Audi
Pune,2009,66000,Petrol,Manual,Second,17.0,1197,5,2.7,i20 2015-2017 Asta,Hyundai
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,5,2.41,Omni 5 Str STD,Maruti
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,5,3.9,Etios Liva 1.2 G,Toyota
Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,5,24.0,XF 3.0 Litre S Premium Luxury,Jaguar
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,7,5.75,XUV500 W8 2WD,Mahindra
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,5,5.25,Verna 1.6 SX CRDI (O) AT,Hyundai
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,7,19.25,Innova Crysta 2.8 ZX AT,Toyota
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,5,3.91,Eeco 5 Seater AC,Maruti
Bangalore,2014,25500,Petrol,Manual,First,25.4,624,4,2.15,Nano Twist XT,Tata
Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,5,20.75,3 Series 320d Luxury Line,BMW
Delhi,2010,71088,Petrol,Manual,First,13.5,1799,5,3.35,Civic 2006-2010 1.8 V MT,Honda
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,7,11.11,Innova 2.5 VX (Diesel) 7 Seater,Toyota
Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,5,20.0,V40 Cross Country D3,Volvo
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,5,6.55,Micra XV CVT,Nissan
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,5,7.0,5 Series 2010-2013 525i,BMW
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,5,7.5,Vitara Brezza VDi,Maruti
Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086,5,0.85,Santro Xing XL eRLX Euro III,Hyundai
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,5,16.75,B Class B200 CDI,Mercedes-Benz
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,5,10.95,Verna CRDi 1.6 SX Option,Hyundai
Pune,2011,43874,Petrol,Manual,First,18.9,998,5,2.45,Wagon R LXI BS IV,Maruti
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,4,3.23,Nano XTA,Tata
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,8,7.75,Scorpio VLX,Mahindra
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,5,9.35,New C-Class 200 K AT,Mercedes-Benz
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,5,5.25,CR-V 2.4 MT,Honda
Pune,2015,55000,Diesel,Automatic,First,21.21,1498,5,7.25,Vento 1.5 TDI Comfortline AT,Volkswagen
Kochi,2017,44285,Petrol,Manual,First,20.73,1373,5,7.47,Ciaz VXi Plus,Maruti
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,7,13.25,XUV500 AT W10 FWD,Mahindra
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,5,5.81,Ritz VXI ABS,Maruti
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,5,2.6,Alto K10 VXI,Maruti
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,5,11.5,Verna VTVT 1.6 AT SX Plus,Hyundai
Chennai,2010,94385,Petrol,Manual,Second,19.7,796,5,1.6,Alto LXi BSIII,Maruti
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,5,17.22,1 Series 118d Base,BMW
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,5,6.0,Jazz 1.2 V CVT i VTEC,Honda
Delhi,2012,88578,Petrol,Manual,First,13.5,1799,5,3.95,Civic 2006-2010 1.8 V MT,Honda
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,5,17.95,New C-Class C 220 CDI Avantgarde,Mercedes-Benz
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,5,3.7,Amaze SX i-DTEC,Honda
Kochi,2016,34204,Petrol,Manual,First,22.0,1197,5,5.43,Swift VVT VXI,Maruti
Kochi,2008,80759,Petrol,Manual,Third,17.0,1086,5,1.67,Santro Xing XO eRLX Euro II,Hyundai
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,7,13.49,Fortuner 3.0 Diesel,Toyota
Pune,2014,38800,Petrol,Manual,First,18.6,1199,5,2.85,Beat LT Option,Chevrolet
Chennai,2013,83000,Diesel,Manual,First,21.14,1498,5,4.75,Rapid 1.5 TDI Elegance,Skoda
Kochi,2018,41283,Petrol,Manual,First,20.73,1373,5,9.9,Ciaz 1.4 Alpha,Maruti
Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,4,37.0,RS5 Coupe,Audi
Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,5,26.5,3 Series Luxury Line,BMW
Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,5,23.32,A4 2.0 TDI 177 Bhp Premium Plus,Audi
Chennai,2016,35000,Diesel,Manual,First,22.9,1248,5,6.25,Swift VDI,Maruti
Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,5,30.0,S Class 2005 2013 S 500,Mercedes-Benz
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,5,9.86,Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda
Pune,2012,136997,Diesel,Automatic,First,17.2,1968,5,8.5,Superb Elegance 2.0 TDI CR AT,Skoda
Kochi,2019,14322,Petrol,Manual,First,21.1,814,5,4.23,EON Magna Plus,Hyundai
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,5,3.5,Polo Diesel Trendline 1.2L,Volkswagen
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,5,2.39,Brio S MT,Honda
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,5,11.25,B Class B180,Mercedes-Benz
Kochi,2015,42831,Diesel,Manual,First,26.0,1498,5,7.11,City i DTEC V,Honda
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,7,10.9,Innova 2.5 G (Diesel) 7 Seater,Toyota
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,5,6.2,Swift VXI Optional,Maruti
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,7,7.9,XUV500 W8 2WD,Mahindra
Kochi,2014,147898,Diesel,Manual,First,22.7,1498,5,4.42,Ecosport 1.5 DV5 MT Ambiente,Ford
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,7,13.5,Fortuner 4x2 Manual,Toyota
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,5,6.25,Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,5,2.1,Figo Diesel Titanium,Ford
Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,5,45.0,X5 xDrive 30d,BMW
Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,5,33.66,New C-Class C 220 CDI Style,Mercedes-Benz
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,5,3.65,Brio V MT,Honda
Delhi,2013,60000,Petrol,Manual,First,20.36,1197,5,2.75,i10 Magna 1.2,Hyundai
Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,5,42.5,GLC 220,Mercedes-Benz
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,5,6.5,Grand i10 1.2 Kappa Asta,Hyundai
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,5,19.0,A6 2011-2015 2.0 TDI Premium Plus,Audi
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,5,4.45,Vento Petrol Highline AT,Volkswagen
Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,5,23.0,Countryman Cooper D,Mini
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,5,8.35,i20 Asta 1.4 CRDi,Hyundai
Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,5,22.95,A6 2011-2015 2.0 TDI Premium Plus,Audi
Jaipur,2012,88000,Diesel,Manual,First,25.44,936,5,1.5,Beat Diesel LT,Chevrolet
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,5,6.89,Superb Elegance 1.8 TSI AT,Skoda
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,5,1.45,Fiesta 1.4 TDCi EXI Limited Edition,Ford
Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,5,33.5,5 Series 520d Luxury Line,BMW
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,5,1.25,Optra Magnum 1.6 LS BS3,Chevrolet
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,5,4.2,Polo Diesel Highline 1.2L,Volkswagen
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,8,6.75,Lodgy 110PS RxZ 8 Seater,Renault
Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,5,32.0,E-Class E250 CDI Avantgrade,Mercedes-Benz
Kochi,2017,24773,Petrol,Manual,First,21.4,1197,5,7.5,Baleno Alpha,Maruti
Delhi,2012,62000,Diesel,Manual,First,22.32,1582,5,4.6,Verna 1.6 SX,Hyundai
Kochi,2017,52340,Petrol,Manual,First,19.81,1086,5,4.04,i10 Magna 1.1,Hyundai
Kochi,2016,56739,Diesel,Manual,First,15.4,1997,7,10.31,Scorpio 1.99 S10 4WD,Mahindra
Chennai,2010,120000,Diesel,Manual,First,20.0,1399,5,2.6,Figo Diesel ZXI,Ford
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,7,8.5,Ertiga ZDI,Maruti
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,5,3.5,Amaze S i-Dtech,Honda
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,5,3.55,i10 Magna,Hyundai
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,5,3.25,Amaze S i-Dtech,Honda
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,5,4.5,Laura Ambiente,Skoda
Delhi,2014,90000,Diesel,Manual,First,19.87,1461,5,5.35,Duster 85PS Diesel RxL,Renault
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,7,6.5,NuvoSport N6,Mahindra
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,5,9.0,Vitara Brezza ZDi Plus Dual Tone,Maruti
Kochi,2016,61012,Petrol,Manual,First,18.6,1197,5,6.0,i20 Asta Option 1.2,Hyundai
Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,5,2.75,Fabia 1.4 MPI Ambiente,Skoda
Pune,2010,70500,Petrol,Manual,First,15.64,1193,5,1.5,Indigo eCS GLX,Tata
Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,5,19.9,Q3 2012-2015 35 TDI Quattro Premium Plus,Audi
Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,5,10.0,Octavia Elegance 1.8 TSI AT,Skoda
Delhi,2014,104000,Diesel,Manual,First,23.59,1364,5,3.0,Etios Liva GD SP,Toyota
Kolkata,2010,42001,Petrol,Manual,First,16.1,1621,5,2.11,Swift 1.3 VXi,Maruti
Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,5,11.96,B Class B180,Mercedes-Benz
Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,5,3.25,Amaze S Diesel,Honda
Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,5,4.75,Verna 1.6 SX,Hyundai
Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,5,5.95,Duster 85PS Diesel RxL Optional,Renault
Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,5,8.15,Creta 1.6 VTVT S,Hyundai
Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,5,4.22,Wagon R AMT VXI,Maruti
Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,5,10.5,New C-Class C250 Avantgarde,Mercedes-Benz
Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,5,45.0,A8 L 3.0 TDI quattro,Audi
Pune,2012,44000,Petrol,Manual,Second,19.81,1086,5,2.9,i10 Magna 1.1,Hyundai
Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,5,8.9,Rapid 1.6 MPI AT Style Black Package,Skoda
Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,5,26.0,Superb Style 1.8 TSI AT,Skoda
Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,5,8.22,i20 Active 1.2 SX,Hyundai
Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,5,3.5,Amaze VX i-DTEC,Honda
Chennai,2004,61000,Petrol,Manual,Second,18.9,998,5,1.25,Wagon R LXI,Maruti
Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,5,3.7,Verito 1.5 D4 BSIV,Mahindra
Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,5,39.41,New C-Class C 220d Avantgarde Edition C,Mercedes-Benz
Kolkata,2013,32000,Petrol,Manual,First,22.5,998,5,2.65,Wagon R VXI,Maruti
Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,5,8.92,Terrano XV Premium 110 PS Anniversary Edition,Nissan
Delhi,2013,47000,Diesel,Manual,First,17.8,1248,5,4.1,Swift VDI BSIV,Maruti
Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,4,35.67,Cooper Convertible S,Mini
Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,5,0.85,Indica V2 DLS BSII,Tata
Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,5,3.32,Beat LT,Chevrolet
Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,5,3.6,Polo Diesel Comfortline 1.2L,Volkswagen
Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,5,6.8,Swift ZDi,Maruti
Kolkata,2012,41284,Diesel,Manual,First,20.0,1399,5,2.5,Figo Diesel EXI,Ford
Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,7,19.64,Innova Crysta 2.8 GX AT,Toyota
Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,7,7.0,Santa Fe 4x4 AT,Hyundai
Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,5,3.87,City i-VTEC V,Honda
Kochi,2018,14960,Petrol,Manual,First,18.6,1197,5,6.27,i20 1.2 Magna Executive,Hyundai
Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,5,18.12,New C-Class C 220d Avantgarde Edition C,Mercedes-Benz
Mumbai,2013,74000,Diesel,Manual,First,25.44,936,5,2.65,Beat Diesel LT,Chevrolet
Kochi,2015,56847,Diesel,Manual,First,22.54,1396,5,7.2,i20 Sportz 1.4 CRDi,Hyundai
Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494,7,14.3,Innova 2.5 Z Diesel 7 Seater,Toyota
Chennai,2013,52000,Diesel,Manual,First,20.77,1248,7,6.9,Ertiga VDI,Maruti
Mumbai,2014,118000,Diesel,Manual,First,12.8,2494,7,10.75,Innova 2.5 V Diesel 7-seater,Toyota
Mumbai,2007,72000,Petrol,Manual,Third,17.0,1086,5,0.95,Santro Xing XO eRLX Euro II,Hyundai
Kochi,2016,33915,Petrol,Manual,First,17.8,1497,5,8.09,City i VTEC V,Honda
Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995,5,18.5,X1 sDrive20d,BMW
Mumbai,2017,33000,Diesel,Manual,First,24.0,1120,5,4.75,Grand i10 CRDi Era,Hyundai
Chennai,2016,34000,Diesel,Manual,First,28.09,1248,5,8.45,Ciaz 1.3 Alpha,Maruti
Kolkata,2012,55000,Diesel,Manual,First,20.5,1598,5,3.5,Rapid Leisure 1.6 TDI MT,Skoda
Kochi,2006,160538,Diesel,Manual,First,13.1,1493,5,1.8,Accent CRDi,Hyundai
Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498,5,3.7,Polo GT 1.5 TDI,Volkswagen
Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199,5,7.17,Jazz 1.2 VX i VTEC,Honda
Jaipur,2010,83000,Petrol,Manual,First,19.81,1086,5,1.75,i10 Era,Hyundai
Kochi,2018,51346,Diesel,Automatic,First,16.38,1995,5,21.99,Tucson 2.0 e-VGT 2WD AT GLS,Hyundai
Pune,2017,43000,Diesel,Manual,First,13.68,2393,7,18.65,Innova Crysta 2.4 ZX MT,Toyota
Jaipur,2011,35000,Petrol,Manual,Third,19.7,796,5,1.85,Omni MPI CARGO BSIII W/ IMMOBILISER,Maruti
Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197,5,5.95,Swift VXI BSIV,Maruti
Mumbai,2014,16514,Petrol,Manual,First,18.9,1197,5,3.75,Grand i10 Magna,Hyundai
Pune,2012,120000,Diesel,Manual,First,22.9,1248,5,3.75,Swift VDI,Maruti
Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582,5,2.6,Verna CRDi 1.6 SX,Hyundai
