Location,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,car_age,power/horse
Kolkata,Petrol,Manual,First,20.36,5,2.07,Hyundai,i10 Asta,16,6.591478696741855
Hyderabad,Diesel,Automatic,First,13.29,5,7.75,Nissan,X-Trail SLX AT,16,7.398496240601503
Hyderabad,Petrol,Manual,First,18.2,5,2.25,Maruti,Zen Estilo VXI BSIII,16,6.723446893787574
Mumbai,Diesel,Manual,First,13.68,8,16.5,Toyota,Innova Crysta 2.4 GX MT 8S,9,6.176347680735479
Bangalore,Diesel,Manual,First,20.0,5,2.75,Ford,Figo Diesel Titanium,16,4.8606147248034315
Delhi,Petrol,Automatic,First,11.74,5,26.7,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,11,10.356347438752785
Pune,Diesel,Manual,Second,15.8,5,10.0,Mercedes-Benz,New C-Class 200 CDI Classic,15,7.9143389199255125
Chennai,Diesel,Manual,First,25.0,5,2.5,Tata,Indica V2 eLS,10,4.9426934097421205
Jaipur,Diesel,Automatic,First,16.55,5,13.5,Audi,A4 2.0 TDI Multitronic,14,7.113821138211382
Mumbai,Petrol,Automatic,Second,16.4,5,1.85,Honda,City ZX CVT,19,5.210420841683367
Coimbatore,Diesel,Automatic,First,0.0,5,35.67,Mercedes-Benz,C-Class Progressive C 220d,7,9.948717948717949
Pune,Diesel,Manual,First,24.52,7,8.15,Maruti,Ertiga SHVS VDI,10,7.091346153846153
Mumbai,Diesel,Manual,First,22.1,5,10.5,Hyundai,Creta 1.4 E Plus Diesel,8,6.353868194842407
Mumbai,Petrol,Automatic,First,8.5,5,14.5,Porsche,Cayenne 2009-2014 Turbo,18,10.403662089055347
Mumbai,Diesel,Manual,First,15.1,7,9.65,Mahindra,XUV500 W8 4WD,11,6.424965580541533
Kochi,Petrol,Automatic,First,16.95,5,3.48,Hyundai,i10 Sportz 1.2 AT,14,6.591478696741855
Kochi,Diesel,Manual,First,19.64,5,6.92,Nissan,Terrano XV D Pre,11,7.426420260095824
Coimbatore,Petrol,Automatic,Second,16.5,5,6.46,Honda,Brio VX AT,10,7.245409015025041
Delhi,Diesel,Automatic,Second,18.53,5,29.5,Audi,A6 2.0 TDI Design Edition,12,9.539634146341463
Jaipur,Diesel,Manual,First,17.8,5,2.0,Ford,Fiesta 1.4 SXi TDCi,18,8.096990259683349
Chennai,Petrol,Manual,Third,12.4,8,4.5,Toyota,Innova 2.0 G1,20,6.606606606606606
Hyderabad,Diesel,Manual,First,12.8,7,11.75,Toyota,Innova 2.5 VX 7 STR BSIV,14,4.0898155573376105
Hyderabad,Petrol,Manual,First,0.0,5,1.3,Hyundai,Santro Xing XL,21,10.4306531982477
Jaipur,Diesel,Manual,First,22.9,5,3.75,Maruti,Swift VDI,14,5.929487179487179
Pune,Petrol,Manual,First,17.57,5,4.5,Tata,Zest Revotron 1.2T XE,9,7.435037720033528
Kochi,Petrol,Manual,First,18.0,5,4.82,Honda,Amaze SX i-VTEC,10,7.237061769616027
Hyderabad,Diesel,Manual,First,20.0,5,2.8,Ford,Figo Diesel ZXI,14,4.8606147248034315
Jaipur,Diesel,Manual,First,23.2,5,3.11,Maruti,Ritz VDi,13,5.924679487179487
Delhi,Petrol,Manual,First,17.8,5,3.25,Honda,City i VTEC E,17,7.83567134268537
Delhi,Diesel,Automatic,Second,16.73,5,13.9,BMW,5 Series 2003-2012 525d,15,10.927318295739347
Pune,Petrol,Manual,First,20.36,5,2.25,Hyundai,i10 Sportz 1.2,17,6.591478696741855
Bangalore,Petrol,Manual,First,18.9,5,5.75,Hyundai,Grand i10 Sportz,10,6.8504594820384295
Hyderabad,Petrol,Manual,First,17.0,5,2.1,Hyundai,Santro Xing XO,19,10.4306531982477
Mumbai,Petrol,Manual,First,17.8,5,5.0,Honda,Amaze SX i-VTEC,10,7.237061769616027
Delhi,Diesel,Manual,First,13.0,7,16.5,Toyota,Fortuner 4x2 Manual,12,5.650570087189806
Coimbatore,Diesel,Automatic,First,17.68,5,39.58,Audi,A6 2011-2015 35 TDI Premium,8,8.858231707317074
Delhi,Diesel,Manual,First,22.7,5,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional,13,5.9973297730307085
Delhi,Diesel,Manual,First,15.1,7,8.1,Mahindra,XUV500 W8 2WD,12,6.424965580541533
Kolkata,Diesel,Manual,First,25.8,5,3.5,Honda,Amaze SX i-DTEC,11,6.582109479305741
Kolkata,Diesel,Manual,First,22.07,5,2.79,Volkswagen,Polo Diesel Highline 1.2L,13,6.163469557964971
Ahmedabad,Diesel,Manual,First,16.2,5,3.45,Hyundai,Verna Transform SX VGT CRDi,16,7.367716008037509
Bangalore,Petrol,Manual,First,18.9,5,4.45,Maruti,Wagon R VXI BS IV,10,6.723446893787574
Delhi,Petrol,Manual,First,15.26,5,2.65,Volkswagen,Polo Petrol Highline 1.6L,16,6.476846057571965
Pune,Diesel,Manual,Second,23.0,5,3.8,Hyundai,i20 1.4 CRDi Sportz,15,6.446991404011461
Mumbai,Petrol,Manual,First,18.5,5,4.65,Hyundai,i20 Asta 1.2,12,6.921470342522975
Kolkata,Diesel,Automatic,First,14.94,5,9.8,Audi,A4 3.0 TDI Quattro Premium,16,8.136164475901584
Pune,Petrol,Manual,Second,17.0,5,2.7,Hyundai,i20 2015-2017 Asta,17,6.683375104427736
Coimbatore,Petrol,Manual,First,14.0,5,2.41,Maruti,Omni 5 Str STD,16,4.396984924623116
Ahmedabad,Petrol,Manual,First,17.71,5,3.9,Toyota,Etios Liva 1.2 G,12,6.591478696741855
Hyderabad,Diesel,Automatic,Second,14.74,5,24.0,Jaguar,XF 3.0 Litre S Premium Luxury,15,9.05111927831607
Delhi,Diesel,Manual,Second,16.0,7,5.75,Mahindra,XUV500 W8 2WD,14,6.424965580541533
Kolkata,Diesel,Automatic,First,22.32,5,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT,12,7.984829329962073
Mumbai,Diesel,Automatic,First,11.36,7,19.25,Toyota,Innova Crysta 2.8 ZX AT,9,6.2250453720508165
Coimbatore,Petrol,Manual,First,15.1,5,3.91,Maruti,Eeco 5 Seater AC,9,6.103678929765886
Bangalore,Petrol,Manual,First,25.4,4,2.15,Tata,Nano Twist XT,12,6.009615384615385
Mumbai,Diesel,Automatic,First,22.69,5,20.75,BMW,3 Series 320d Luxury Line,11,9.523809523809524
Delhi,Petrol,Manual,First,13.5,5,3.35,Honda,Civic 2006-2010 1.8 V MT,16,7.226236798221233
Ahmedabad,Diesel,Manual,First,12.99,7,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater,12,4.033680834001604
Bangalore,Diesel,Automatic,First,23.3,5,20.0,Volvo,V40 Cross Country D3,12,7.560483870967742
Coimbatore,Petrol,Automatic,First,19.15,5,6.55,Nissan,Micra XV CVT,10,6.338898163606011
Mumbai,Petrol,Automatic,First,10.8,5,7.0,BMW,5 Series 2010-2013 525i,17,8.610332398878654
Mumbai,Diesel,Manual,First,24.3,5,7.5,Maruti,Vitara Brezza VDi,10,7.091346153846153
Mumbai,Petrol,Manual,Second,17.0,5,0.85,Hyundai,Santro Xing XL eRLX Euro III,21,10.4306531982477
Pune,Diesel,Automatic,Second,15.0,5,16.75,Mercedes-Benz,B Class B200 CDI,12,5.006999533364443
Kolkata,Diesel,Manual,First,22.0,5,10.95,Hyundai,Verna CRDi 1.6 SX Option,8,7.977243994943111
Pune,Petrol,Manual,First,18.9,5,2.45,Maruti,Wagon R LXI BS IV,15,6.723446893787574
Coimbatore,Petrol,Automatic,First,21.9,4,3.23,Tata,Nano XTA,9,6.0064102564102555
Kolkata,Diesel,Manual,First,12.05,8,7.75,Mahindra,Scorpio VLX,12,5.507113354749885
Kolkata,Petrol,Automatic,First,11.7,5,9.35,Mercedes-Benz,New C-Class 200 K AT,17,9.910913140311804
Bangalore,Petrol,Manual,Second,10.8,5,5.25,Honda,CR-V 2.4 MT,19,6.457094307561598
Pune,Diesel,Automatic,First,21.21,5,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT,11,6.889185580774367
Kochi,Petrol,Manual,First,20.73,5,7.47,Maruti,Ciaz VXi Plus,9,6.635105608157319
Jaipur,Diesel,Automatic,First,16.0,7,13.25,Mahindra,XUV500 AT W10 FWD,10,6.424965580541533
Coimbatore,Petrol,Manual,First,21.1,5,5.81,Maruti,Ritz VXI ABS,10,7.167919799498747
Hyderabad,Petrol,Manual,First,24.07,5,2.6,Maruti,Alto K10 VXI,12,6.723446893787574
Kolkata,Petrol,Automatic,First,19.0,2,54.0,Mercedes-Benz,SLC 43 AMG,9,12.085113484646195
Kochi,Petrol,Automatic,First,17.0,5,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus,7,7.6241357636706475
Chennai,Petrol,Manual,Second,19.7,5,1.6,Maruti,Alto LXi BSIII,16,5.816582914572864
Coimbatore,Diesel,Automatic,First,20.58,5,17.22,BMW,1 Series 118d Base,11,7.167919799498747
Mumbai,Petrol,Automatic,First,19.0,5,6.0,Honda,Jazz 1.2 V CVT i VTEC,11,7.397831526271894
Delhi,Petrol,Manual,First,13.5,5,3.95,Honda,Civic 2006-2010 1.8 V MT,14,7.226236798221233
Kochi,Diesel,Automatic,First,19.27,5,17.95,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,12,7.932804479701354
Kolkata,Diesel,Manual,First,25.8,5,3.7,Honda,Amaze SX i-DTEC,12,6.582109479305741
Kochi,Petrol,Manual,First,22.0,5,5.43,Maruti,Swift VVT VXI,10,6.83375104427736
Kochi,Petrol,Manual,Third,17.0,5,1.67,Hyundai,Santro Xing XO eRLX Euro II,18,10.4306531982477
Coimbatore,Diesel,Manual,First,11.5,7,13.49,Toyota,Fortuner 3.0 Diesel,14,5.734406438631791
Pune,Petrol,Manual,First,18.6,5,2.85,Chevrolet,Beat LT Option,12,6.40533778148457
Chennai,Diesel,Manual,First,21.14,5,4.75,Skoda,Rapid 1.5 TDI Elegance,13,6.910547396528704
Kochi,Petrol,Manual,First,20.73,5,9.9,Maruti,Ciaz 1.4 Alpha,8,6.635105608157319
Mumbai,Petrol,Automatic,First,11.05,4,37.0,Audi,RS5 Coupe,13,15.342087076710436
Mumbai,Diesel,Automatic,First,21.76,5,26.5,BMW,3 Series Luxury Line,12,9.523809523809524
Coimbatore,Diesel,Automatic,First,17.11,5,23.32,Audi,A4 2.0 TDI 177 Bhp Premium Plus,11,8.858231707317074
Chennai,Diesel,Manual,First,22.9,5,6.25,Maruti,Swift VDI,10,5.929487179487179
Kolkata,Petrol,Automatic,First,7.81,5,30.0,Mercedes-Benz,S Class 2005 2013 S 500,16,6.6453030580479755
Coimbatore,Diesel,Automatic,First,21.66,5,9.86,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,10,6.910547396528704
Pune,Diesel,Automatic,First,17.2,5,8.5,Skoda,Superb Elegance 2.0 TDI CR AT,14,7.017276422764228
Kochi,Petrol,Manual,First,21.1,5,4.23,Hyundai,EON Magna Plus,7,6.781326781326781
Jaipur,Diesel,Manual,First,22.07,5,3.5,Volkswagen,Polo Diesel Trendline 1.2L,14,6.163469557964971
Kolkata,Petrol,Manual,First,19.4,5,2.39,Honda,Brio S MT,13,7.245409015025041
Delhi,Petrol,Automatic,First,14.8,5,11.25,Mercedes-Benz,B Class B180,13,7.567398119122257
Kochi,Diesel,Manual,First,26.0,5,7.11,Honda,City i DTEC V,11,6.582109479305741
Ahmedabad,Diesel,Manual,First,12.99,7,10.9,Toyota,Innova 2.5 G (Diesel) 7 Seater,10,4.033680834001604
Ahmedabad,Petrol,Manual,First,20.4,5,6.2,Maruti,Swift VXI Optional,9,6.83375104427736
Mumbai,Diesel,Manual,First,15.1,7,7.9,Mahindra,XUV500 W8 2WD,14,6.424965580541533
Kochi,Diesel,Manual,First,22.7,5,4.42,Ford,Ecosport 1.5 DV5 MT Ambiente,12,5.9973297730307085
Mumbai,Diesel,Manual,First,13.0,7,13.5,Toyota,Fortuner 4x2 Manual,14,5.650570087189806
Chennai,Diesel,Automatic,First,21.5,5,6.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,13,7.242990654205607
Jaipur,Diesel,Manual,Second,20.0,5,2.1,Ford,Figo Diesel Titanium,16,4.8606147248034315
Mumbai,Diesel,Automatic,First,15.3,5,45.0,BMW,X5 xDrive 30d,11,8.620113598396257
Coimbatore,Diesel,Automatic,First,19.27,5,33.66,Mercedes-Benz,New C-Class C 220 CDI Style,9,7.821745216985534
Bangalore,Petrol,Manual,Second,19.4,5,3.65,Honda,Brio V MT,14,7.245409015025041
Delhi,Petrol,Manual,First,20.36,5,2.75,Hyundai,i10 Magna 1.2,13,6.591478696741855
Bangalore,Diesel,Automatic,First,17.9,5,42.5,Mercedes-Benz,GLC 220,10,7.932804479701354
Kolkata,Petrol,Manual,First,18.9,5,6.5,Hyundai,Grand i10 1.2 Kappa Asta,7,6.838763575605681
Mumbai,Diesel,Automatic,Second,17.68,5,19.0,Audi,A6 2011-2015 2.0 TDI Premium Plus,14,8.858231707317074
Mumbai,Petrol,Automatic,Second,14.4,5,4.45,Volkswagen,Vento Petrol Highline AT,13,6.483103879849812
Jaipur,Diesel,Automatic,Second,16.6,5,23.0,Mini,Countryman Cooper D,9,5.605605605605605
Bangalore,Diesel,Manual,First,22.54,5,8.35,Hyundai,i20 Asta 1.4 CRDi,12,6.356017191977077
Mumbai,Diesel,Automatic,First,17.68,5,22.95,Audi,A6 2011-2015 2.0 TDI Premium Plus,12,8.858231707317074
Jaipur,Diesel,Manual,First,25.44,5,1.5,Chevrolet,Beat Diesel LT,14,6.153846153846154
Kochi,Petrol,Automatic,First,13.7,5,6.89,Skoda,Superb Elegance 1.8 TSI AT,14,8.773637374860957
Chennai,Diesel,Manual,Second,17.8,5,1.45,Ford,Fiesta 1.4 TDCi EXI Limited Edition,20,4.8606147248034315
Hyderabad,Diesel,Automatic,First,22.48,5,33.5,BMW,5 Series 520d Luxury Line,12,9.523809523809524
Jaipur,Petrol,Manual,First,12.9,5,1.25,Chevrolet,Optra Magnum 1.6 LS BS3,19,6.414267834793493
Hyderabad,Diesel,Manual,First,22.07,5,4.2,Volkswagen,Polo Diesel Highline 1.2L,14,6.163469557964971
Mumbai,Diesel,Manual,First,19.98,8,6.75,Renault,Lodgy 110PS RxZ 8 Seater,11,7.426420260095824
Bangalore,Diesel,Automatic,First,13.0,5,32.0,Mercedes-Benz,E-Class E250 CDI Avantgrade,12,9.384041063929072
Kochi,Petrol,Manual,First,21.4,5,7.5,Maruti,Baleno Alpha,9,6.942355889724311
Delhi,Diesel,Manual,First,22.32,5,4.6,Hyundai,Verna 1.6 SX,14,7.984829329962073
Kochi,Petrol,Manual,First,19.81,5,4.04,Hyundai,i10 Magna 1.1,9,6.266114180478821
Kochi,Diesel,Manual,First,15.4,7,10.31,Mahindra,Scorpio 1.99 S10 4WD,10,6.009013520280421
Coimbatore,Diesel,Automatic,First,12.7,5,55.76,Land,Rover Range Rover 2.2L Dynamic,8,8.614043139054612
Chennai,Diesel,Manual,First,20.0,5,2.6,Ford,Figo Diesel ZXI,16,4.8606147248034315
Mumbai,Diesel,Manual,First,25.47,7,8.5,Maruti,Ertiga ZDI,10,7.091346153846153
Kolkata,Diesel,Manual,First,25.8,5,3.5,Honda,Amaze S i-Dtech,12,6.582109479305741
Jaipur,Petrol,Manual,First,20.36,5,3.55,Hyundai,i10 Magna,11,6.591478696741855
Kolkata,Diesel,Manual,First,25.8,5,3.25,Honda,Amaze S i-Dtech,13,6.582109479305741
Hyderabad,Diesel,Manual,First,17.5,5,4.5,Skoda,Laura Ambiente,18,5.590717299578059
Delhi,Diesel,Manual,First,19.87,5,5.35,Renault,Duster 85PS Diesel RxL,12,5.7357973990417515
Chennai,Diesel,Manual,Second,17.45,7,6.5,Mahindra,NuvoSport N6,9,6.697923643670463
Mumbai,Diesel,Manual,First,24.3,5,9.0,Maruti,Vitara Brezza ZDi Plus Dual Tone,10,7.091346153846153
Kochi,Petrol,Manual,First,18.6,5,6.0,Hyundai,i20 Asta Option 1.2,10,6.836257309941521
Jaipur,Petrol,Manual,First,14.7,5,2.75,Skoda,Fabia 1.4 MPI Ambiente,17,6.115107913669065
Pune,Petrol,Manual,First,15.64,5,1.5,Tata,Indigo eCS GLX,16,5.37300922045264
Delhi,Diesel,Automatic,First,15.73,5,19.9,Audi,Q3 2012-2015 35 TDI Quattro Premium Plus,11,8.858231707317074
Mumbai,Petrol,Automatic,First,14.7,5,10.0,Skoda,Octavia Elegance 1.8 TSI AT,12,9.872080088987763
Delhi,Diesel,Manual,First,23.59,5,3.0,Toyota,Etios Liva GD SP,12,4.916422287390029
Kochi,Petrol,Automatic,First,14.8,5,11.96,Mercedes-Benz,B Class B180,12,7.567398119122257
Kolkata,Diesel,Manual,First,27.4,5,3.25,Honda,Amaze S Diesel,13,6.582109479305741
Jaipur,Diesel,Manual,Second,22.32,5,4.75,Hyundai,Verna 1.6 SX,14,7.984829329962073
Mumbai,Diesel,Manual,First,20.46,5,5.95,Renault,Duster 85PS Diesel RxL Optional,12,5.7357973990417515
Delhi,Petrol,Manual,Second,15.29,5,8.15,Hyundai,Creta 1.6 VTVT S,11,7.6241357636706475
Mumbai,Petrol,Automatic,First,20.51,5,4.22,Maruti,Wagon R AMT VXI,10,6.713426853707414
Kolkata,Petrol,Automatic,First,11.74,5,10.5,Mercedes-Benz,New C-Class C250 Avantgarde,16,10.356347438752785
Delhi,Diesel,Automatic,First,11.8,5,45.0,Audi,A8 L 3.0 TDI quattro,14,8.31479609032693
Pune,Petrol,Manual,Second,19.81,5,2.9,Hyundai,i10 Magna 1.1,14,6.266114180478821
Mumbai,Petrol,Automatic,First,14.3,5,8.9,Skoda,Rapid 1.6 MPI AT Style Black Package,9,6.478097622027534
Hyderabad,Petrol,Automatic,First,14.67,5,26.0,Skoda,Superb Style 1.8 TSI AT,9,9.869855394883203
Coimbatore,Petrol,Manual,First,17.19,5,8.22,Hyundai,i20 Active 1.2 SX,8,6.838763575605681
Kolkata,Diesel,Manual,Second,25.8,5,3.5,Honda,Amaze VX i-DTEC,12,6.582109479305741
Chennai,Petrol,Manual,Second,18.9,5,1.25,Maruti,Wagon R LXI,22,6.723446893787574
Hyderabad,Diesel,Manual,First,21.03,5,3.7,Mahindra,Verito 1.5 D4 BSIV,13,4.4490075290896645
Coimbatore,Diesel,Automatic,First,19.27,5,39.41,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,8,7.821745216985534
Kolkata,Petrol,Manual,First,22.5,5,2.65,Maruti,Wagon R VXI,13,6.717434869739479
Coimbatore,Diesel,Manual,Second,19.01,5,8.92,Nissan,Terrano XV Premium 110 PS Anniversary Edition,11,7.426420260095824
Delhi,Diesel,Manual,First,17.8,5,4.1,Maruti,Swift VDI BSIV,13,9.076674177321317
Kochi,Petrol,Automatic,First,16.82,4,35.67,Mini,Cooper Convertible S,9,9.463463463463464
Jaipur,Diesel,Manual,Second,17.2,5,0.85,Tata,Indica V2 DLS BSII,19,3.832378223495702
Kochi,Petrol,Manual,Second,18.6,5,3.32,Chevrolet,Beat LT,10,6.40533778148457
Mumbai,Diesel,Manual,First,22.07,5,3.6,Volkswagen,Polo Diesel Comfortline 1.2L,14,6.163469557964971
Hyderabad,Diesel,Manual,First,22.9,5,6.8,Maruti,Swift ZDi,10,5.929487179487179
Kolkata,Diesel,Manual,First,20.0,5,2.5,Ford,Figo Diesel EXI,14,4.8641887062187275
Kochi,Diesel,Automatic,First,11.36,7,19.64,Toyota,Innova Crysta 2.8 GX AT,7,6.2250453720508165
Mumbai,Diesel,Automatic,Second,11.72,7,7.0,Hyundai,Santa Fe 4x4 AT,15,8.835834470213735
Kolkata,Petrol,Manual,First,17.4,5,3.87,Honda,City i-VTEC V,15,7.83567134268537
Kochi,Petrol,Manual,First,18.6,5,6.27,Hyundai,i20 1.2 Magna Executive,8,6.836257309941521
Kochi,Diesel,Automatic,First,19.27,5,18.12,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,11,7.821745216985534
Mumbai,Diesel,Manual,First,25.44,5,2.65,Chevrolet,Beat Diesel LT,13,6.153846153846154
Kochi,Diesel,Manual,First,22.54,5,7.2,Hyundai,i20 Sportz 1.4 CRDi,11,6.356017191977077
Coimbatore,Diesel,Manual,First,12.99,7,14.3,Toyota,Innova 2.5 Z Diesel 7 Seater,11,4.033680834001604
Chennai,Diesel,Manual,First,20.77,7,6.9,Maruti,Ertiga VDI,13,7.112179487179487
Mumbai,Diesel,Manual,First,12.8,7,10.75,Toyota,Innova 2.5 V Diesel 7-seater,12,4.0898155573376105
Mumbai,Petrol,Manual,Third,17.0,5,0.95,Hyundai,Santro Xing XO eRLX Euro II,19,10.4306531982477
Kochi,Petrol,Manual,First,17.8,5,8.09,Honda,City i VTEC V,10,7.83567134268537
Ahmedabad,Diesel,Automatic,First,17.05,5,18.5,BMW,X1 sDrive20d,12,9.223057644110275
Mumbai,Diesel,Manual,First,24.0,5,4.75,Hyundai,Grand i10 CRDi Era,9,6.25
Chennai,Diesel,Manual,First,28.09,5,8.45,Maruti,Ciaz 1.3 Alpha,10,7.091346153846153
Kolkata,Diesel,Manual,First,20.5,5,3.5,Skoda,Rapid Leisure 1.6 TDI MT,14,6.483103879849812
Kochi,Diesel,Manual,First,13.1,5,1.8,Hyundai,Accent CRDi,20,5.492297387809779
Jaipur,Diesel,Manual,Second,19.91,5,3.7,Volkswagen,Polo GT 1.5 TDI,12,6.915887850467289
